num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,flash_attn_latency,mlp_4h_to_h,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
64,64,4,2048,51200,256,1,1,1,,,,,,,,
64,64,4,2048,51200,256,1,1,1,0.0008,3.355,0.0008,5.535,0.0001,6.711,0.0009,5.639
64,128,4,2048,51200,256,1,1,1,0.0005,15.643,0.0005,17.764,0.0001,31.286,0.0006,19.279
64,192,4,2048,51200,256,1,1,1,0.0006,51.098,0.0006,26.601,0.0,102.196,0.0006,32.343
64,256,4,2048,51200,256,1,1,1,0.0006,55.291,0.0006,38.491,0.0001,110.581,0.0006,47.301
64,320,4,2048,51200,256,1,1,1,0.0006,90.297,0.0006,50.317,0.0001,180.594,0.0006,65.577
64,384,4,2048,51200,256,1,1,1,0.0006,110.72,0.0006,61.482,0.0001,221.441,0.0007,82.521
64,448,4,2048,51200,256,1,1,1,0.0006,139.929,0.0006,74.278,0.0001,279.858,0.0007,102.872
64,512,4,2048,51200,256,1,1,1,0.0006,175.019,0.0006,88.192,0.0001,350.038,0.0007,125.849
64,576,4,2048,51200,256,1,1,1,0.0006,137.685,0.0006,95.421,0.0002,275.371,0.0008,131.353
64,640,4,2048,51200,256,1,1,1,0.0007,149.33,0.0007,105.53,0.0002,298.66,0.0008,146.805
64,704,4,2048,51200,256,1,1,1,0.0007,181.092,0.0007,113.054,0.0002,362.184,0.0009,163.569
64,768,4,2048,51200,256,1,1,1,0.0007,192.734,0.0007,122.48,0.0002,385.468,0.0009,178.774
64,832,4,2048,51200,256,1,1,1,0.0008,186.169,0.0008,124.3,0.0002,372.337,0.0011,181.437
64,896,4,2048,51200,256,1,1,1,0.0009,183.655,0.0009,130.333,0.0003,367.309,0.0012,189.289
64,960,4,2048,51200,256,1,1,1,0.0009,162.535,0.0009,135.653,0.0004,325.07,0.0013,190.142
64,1024,4,2048,51200,256,1,1,1,0.001,231.785,0.001,142.371,0.0003,463.569,0.0013,217.839
64,1088,4,2048,51200,256,1,1,1,0.001,165.284,0.001,146.422,0.0005,330.569,0.0015,204.126
64,1152,4,2048,51200,256,1,1,1,0.0011,197.272,0.0011,153.329,0.0004,394.543,0.0015,223.649
64,1216,4,2048,51200,256,1,1,1,0.0011,230.991,0.0011,157.505,0.0004,461.981,0.0016,239.761
64,1280,4,2048,51200,256,1,1,1,0.0012,225.804,0.0012,163.802,0.0005,451.607,0.0017,246.473
64,1344,4,2048,51200,256,1,1,1,0.0012,201.848,0.0012,166.966,0.0006,403.697,0.0018,242.599
64,1408,4,2048,51200,256,1,1,1,0.0013,226.346,0.0013,172.816,0.0006,452.693,0.0019,258.607
64,1472,4,2048,51200,256,1,1,1,0.0014,233.464,0.0014,177.886,0.0006,466.929,0.002,267.5
64,1536,4,2048,51200,256,1,1,1,0.0014,234.413,0.0014,181.406,0.0007,468.826,0.0021,272.544
64,1600,4,2048,51200,256,1,1,1,0.0015,221.429,0.0015,186.92,0.0008,442.858,0.0022,273.892
64,1664,4,2048,51200,256,1,1,1,0.0015,225.834,0.0015,190.108,0.0008,451.669,0.0023,279.716
64,1728,4,2048,51200,256,1,1,1,0.0016,224.91,0.0016,193.949,0.0009,449.819,0.0025,283.829
64,1792,4,2048,51200,256,1,1,1,0.0017,205.682,0.0017,198.879,0.001,411.363,0.0027,279.82
