num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,actual_attention_duration,actual_attention_throughput,actual_mlp_duration,actual_mlp_throughput,actual_duration,actual_throughput
96,96,4,2048,51200,256,1,1,1,,,,,,
96,96,4,2048,51200,256,1,1,1,0.0042,1.695,0.0001,8.54,0.0043,1.907
96,192,4,2048,51200,256,1,1,1,,,,,,
96,96,4,2048,51200,256,1,1,1,,,,,,
96,96,4,2048,51200,256,1,1,1,,,,,,
96,96,4,2048,51200,256,1,1,1,,,,,,
96,96,4,2048,51200,256,1,1,1,0.0041,1.731,0.0001,8.206,0.0043,1.939
96,192,4,2048,51200,256,1,1,1,,,,,,
96,96,4,2048,51200,256,1,1,1,,,,,,
96,96,4,2048,51200,256,1,1,1,,,,,,
96,96,4,2048,51200,256,1,1,1,0.0043,1.638,0.0004,3.188,0.0045,1.835
96,192,4,2048,51200,256,1,1,1,0.0037,4.095,0.0004,12.922,0.0041,4.912
96,288,4,2048,51200,256,1,1,1,0.0038,6.524,0.0003,37.981,0.0043,8.338
96,384,4,2048,51200,256,1,1,1,0.0039,9.113,0.0003,72.747,0.0044,12.477
96,480,4,2048,51200,256,1,1,1,0.004,11.853,0.0003,88.841,0.0045,17.059
96,576,4,2048,51200,256,1,1,1,0.0039,15.459,0.0005,89.759,0.0046,22.66
96,672,4,2048,51200,256,1,1,1,0.0042,17.621,0.0005,113.373,0.0051,26.214
96,768,4,2048,51200,256,1,1,1,0.0044,20.639,0.0006,130.767,0.0052,32.315
96,864,4,2048,51200,256,1,1,1,0.0046,23.452,0.0007,132.437,0.0056,36.776
96,960,4,2048,51200,256,1,1,1,0.0047,26.465,0.0009,128.168,0.0058,42.268
96,1056,4,2048,51200,256,1,1,1,0.005,28.939,0.001,144.762,0.0062,46.637
96,1152,4,2048,51200,256,1,1,1,0.0048,33.953,0.0013,137.476,0.0063,53.816
