m,n,k,throughput
2048,256,64,2.996
2048,512,128,6.904
2048,768,192,15.503
2048,1024,256,26.163
2048,1280,320,42.625
2048,1536,384,61.631
2048,1792,448,59.831
2048,2048,512,94.353
2048,2304,576,97.626
2048,2560,640,125.955
2048,2816,704,131.992
2048,3072,768,116.262
2048,3328,832,126.24
2048,3584,896,123.529
2048,3840,960,131.163
2048,4096,1024,171.114
2048,4352,1088,167.54
2048,4608,1152,171.585
2048,4864,1216,155.058
2048,5120,1280,178.957
2048,5376,1344,186.555
2048,5632,1408,205.678
2048,5888,1472,215.521
2048,6144,1536,221.746
2048,6400,1600,220.382
2048,6656,1664,227.465
2048,6912,1728,219.975
2048,7168,1792,226.938
2048,7424,1856,213.201
2048,7680,1920,195.843
2048,7936,1984,225.685
2048,8192,2048,227.91
2048,8448,2112,209.187
2048,8704,2176,192.062
2048,8960,2240,231.286
2048,9216,2304,216.826
2048,9472,2368,217.541
2048,9728,2432,222.996
2048,9984,2496,231.185
2048,10240,2560,235.016
2048,10496,2624,230.224
2048,10752,2688,231.428
2048,11008,2752,235.4
2048,11264,2816,237.571
2048,11520,2880,224.754
2048,11776,2944,240.584
2048,12032,3008,237.57
2048,12288,3072,243.479
2048,12544,3136,235.761
2048,12800,3200,242.895
2048,13056,3264,240.48
2048,13312,3328,246.955
2048,13568,3392,240.519
2048,13824,3456,248.362
2048,14080,3520,252.845
2048,14336,3584,238.199
2048,14592,3648,240.893
2048,14848,3712,242.434
2048,15104,3776,240.316
2048,15360,3840,232.712
2048,15616,3904,241.016
2048,15872,3968,244.861
2048,16128,4032,242.901
2048,16384,4096,240.716
2048,16640,4160,241.858
2048,16896,4224,247.265
2048,17152,4288,249.001
2048,17408,4352,236.028
2048,17664,4416,226.677
2048,17920,4480,238.978
2048,18176,4544,243.168
2048,18432,4608,224.019
2048,18688,4672,244.773
2048,18944,4736,239.051
2048,19200,4800,245.453
2048,19456,4864,234.252
2048,19712,4928,224.816
2048,19968,4992,243.32
2048,20224,5056,237.98
2048,20480,5120,244.622
2048,20736,5184,219.125
2048,20992,5248,249.051
2048,21248,5312,223.98
2048,21504,5376,252.216
2048,21760,5440,241.899
2048,22016,5504,239.656
2048,22272,5568,246.845
2048,22528,5632,250.758
2048,22784,5696,244.117
2048,23040,5760,222.502
2048,23296,5824,241.621
2048,23552,5888,241.287
2048,23808,5952,240.242
2048,24064,6016,241.195
2048,24320,6080,226.329
2048,24576,6144,237.342
2048,24832,6208,238.282
2048,25088,6272,238.018
2048,25344,6336,235.382
2048,25600,6400,234.515
2048,25856,6464,224.989
2048,26112,6528,219.003
2048,26368,6592,216.169
2048,26624,6656,222.566
2048,26880,6720,200.796
2048,27136,6784,226.154
2048,27392,6848,141.374
2048,27648,6912,218.252
2048,27904,6976,228.119
2048,28160,7040,218.247
2048,28416,7104,227.021
2048,28672,7168,230.316
2048,28928,7232,219.573
2048,29184,7296,206.474
2048,29440,7360,209.146
2048,29696,7424,215.711
2048,29952,7488,217.007
2048,30208,7552,214.035
2048,30464,7616,223.75
2048,30720,7680,220.749
2048,30976,7744,141.446
2048,31232,7808,156.332
2048,31488,7872,216.413
2048,31744,7936,205.685
2048,32000,8000,189.517
2048,32256,8064,210.195
2048,32512,8128,195.908
2048,32768,8192,180.399
2048,33024,8256,182.711
2048,33280,8320,195.304
2048,33536,8384,184.305
2048,33792,8448,182.353
2048,34048,8512,206.732
2048,34304,8576,133.83
2048,34560,8640,134.974
2048,34816,8704,198.434
2048,35072,8768,186.104
2048,35328,8832,179.187
2048,35584,8896,171.364
2048,35840,8960,175.113
2048,36096,9024,160.356
2048,36352,9088,160.737
2048,36608,9152,159.013
2048,36864,9216,216.206
2048,37120,9280,139.111
2048,37376,9344,191.611
2048,37632,9408,158.504
2048,37888,9472,160.613
2048,38144,9536,156.159
2048,38400,9600,156.716
2048,38656,9664,156.346
2048,38912,9728,218.632
2048,39168,9792,145.364
2048,39424,9856,135.184
2048,39680,9920,185.914
2048,39936,9984,156.301
2048,40192,10048,154.958
2048,40448,10112,154.859
2048,40704,10176,155.964
2048,40960,10240,219.84
2048,41216,10304,131.016
2048,41472,10368,131.682
2048,41728,10432,189.505
2048,41984,10496,153.054
2048,42240,10560,159.386
2048,42496,10624,160.927
2048,42752,10688,163.482
2048,43008,10752,214.472
2048,43264,10816,138.549
2048,43520,10880,191.226
2048,43776,10944,176.801
2048,44032,11008,158.805
2048,44288,11072,158.483
2048,44544,11136,211.166
2048,44800,11200,139.136
2048,45056,11264,197.661
2048,45312,11328,156.803
2048,45568,11392,156.009
2048,45824,11456,156.508
2048,46080,11520,154.379
2048,46336,11584,193.386
2048,46592,11648,134.2
2048,46848,11712,199.717
2048,47104,11776,181.872
2048,47360,11840,154.778
2048,47616,11904,155.279
2048,47872,11968,156.06
2048,48128,12032,205.837
2048,48384,12096,129.757
2048,48640,12160,174.539
2048,48896,12224,152.461
2048,49152,12288,151.986
2048,49408,12352,163.465
2048,49664,12416,198.136
2048,49920,12480,145.78
2048,50176,12544,166.175
2048,50432,12608,156.584
2048,50688,12672,156.353
2048,50944,12736,160.262
2048,51200,12800,218.915
2048,51456,12864,138.019
2048,51712,12928,177.827
2048,51968,12992,156.441
2048,52224,13056,156.845
2048,52480,13120,155.033
2048,52736,13184,187.519
2048,52992,13248,137.989
2048,53248,13312,161.263
2048,53504,13376,153.978
2048,53760,13440,151.369
2048,54016,13504,155.745
2048,54272,13568,180.473
2048,54528,13632,134.699
2048,54784,13696,179.815
2048,55040,13760,154.442
2048,55296,13824,154.806
2048,55552,13888,178.827
2048,55808,13952,192.267
2048,56064,14016,133.724
2048,56320,14080,166.568
2048,56576,14144,158.39
2048,56832,14208,169.806
2048,57088,14272,199.767
2048,57344,14336,136.761
2048,57600,14400,176.853
2048,57856,14464,156.106
