m,n,k,throughput
8192,192,64,4.609
8192,384,128,18.269
8192,576,192,44.237
8192,768,256,98.69
8192,960,320,116.942
8192,1152,384,140.243
8192,1344,448,167.317
8192,1536,512,191.512
8192,1728,576,139.523
8192,1920,640,158.875
8192,2112,704,169.358
8192,2304,768,200.325
8192,2496,832,199.766
8192,2688,896,194.499
8192,2880,960,203.827
8192,3072,1024,217.945
8192,3264,1088,203.382
8192,3456,1152,210.745
8192,3648,1216,224.428
8192,3840,1280,236.632
8192,4032,1344,205.521
8192,4224,1408,212.718
8192,4416,1472,224.195
8192,4608,1536,231.447
8192,4800,1600,234.651
8192,4992,1664,242.649
8192,5184,1728,243.637
8192,5376,1792,248.551
8192,5568,1856,231.103
8192,5760,1920,233.811
8192,5952,1984,239.663
8192,6144,2048,246.766
8192,6336,2112,235.991
8192,6528,2176,241.585
8192,6720,2240,250.554
8192,6912,2304,245.28
8192,7104,2368,242.551
8192,7296,2432,244.282
8192,7488,2496,243.447
8192,7680,2560,234.387
8192,7872,2624,238.869
8192,8064,2688,235.692
8192,8256,2752,251.359
8192,8448,2816,253.123
8192,8640,2880,240.143
8192,8832,2944,238.633
8192,9024,3008,250.242
8192,9216,3072,239.863
8192,9408,3136,237.456
8192,9600,3200,238.756
8192,9792,3264,242.171
8192,9984,3328,246.0
8192,10176,3392,234.923
8192,10368,3456,243.67
8192,10560,3520,241.197
8192,10752,3584,239.036
8192,10944,3648,249.097
8192,11136,3712,243.207
8192,11328,3776,251.955
8192,11520,3840,235.543
8192,11712,3904,233.591
8192,11904,3968,237.369
8192,12096,4032,243.582
8192,12288,4096,245.38
8192,12480,4160,226.697
8192,12672,4224,213.422
8192,12864,4288,228.429
8192,13056,4352,209.757
8192,13248,4416,213.311
8192,13440,4480,223.235
8192,13632,4544,230.74
8192,13824,4608,232.271
8192,14016,4672,227.859
8192,14208,4736,208.106
8192,14400,4800,209.986
8192,14592,4864,233.3
8192,14784,4928,188.823
8192,14976,4992,205.009
8192,15168,5056,226.236
8192,15360,5120,185.977
8192,15552,5184,187.409
8192,15744,5248,234.279
8192,15936,5312,237.506
8192,16128,5376,166.473
8192,16320,5440,165.459
8192,16512,5504,165.572
8192,16704,5568,173.449
8192,16896,5632,167.458
8192,17088,5696,165.273
8192,17280,5760,168.375
8192,17472,5824,165.46
8192,17664,5888,165.304
8192,17856,5952,188.942
8192,18048,6016,217.406
8192,18240,6080,233.585
8192,18432,6144,234.522
8192,18624,6208,161.732
8192,18816,6272,162.19
8192,19008,6336,163.916
8192,19200,6400,167.674
8192,19392,6464,161.949
8192,19584,6528,164.304
8192,19776,6592,168.146
8192,19968,6656,166.128
8192,20160,6720,212.085
8192,20352,6784,194.598
8192,20544,6848,224.038
8192,20736,6912,236.822
8192,20928,6976,195.2
8192,21120,7040,163.851
8192,21312,7104,164.664
8192,21504,7168,165.723
8192,21696,7232,163.952
8192,21888,7296,174.919
8192,22080,7360,164.85
8192,22272,7424,185.021
8192,22464,7488,229.28
8192,22656,7552,163.166
8192,22848,7616,162.54
8192,23040,7680,149.211
8192,23232,7744,158.041
8192,23424,7808,161.233
8192,23616,7872,172.889
8192,23808,7936,216.119
8192,24000,8000,201.922
8192,24192,8064,163.731
8192,24384,8128,168.522
8192,24576,8192,164.062
8192,24768,8256,161.708
8192,24960,8320,176.418
8192,25152,8384,217.84
8192,25344,8448,205.833
8192,25536,8512,160.783
8192,25728,8576,161.559
8192,25920,8640,161.386
8192,26112,8704,148.309
8192,26304,8768,177.774
8192,26496,8832,186.745
8192,26688,8896,192.188
8192,26880,8960,162.38
8192,27072,9024,160.556
8192,27264,9088,166.276
8192,27456,9152,192.415
8192,27648,9216,189.504
8192,27840,9280,161.511
8192,28032,9344,162.106
8192,28224,9408,192.297
8192,28416,9472,188.291
8192,28608,9536,197.663
8192,28800,9600,184.096
8192,28992,9664,162.177
8192,29184,9728,162.196
8192,29376,9792,173.769
8192,29568,9856,174.795
8192,29760,9920,195.997
8192,29952,9984,199.755
8192,30144,10048,160.786
8192,30336,10112,160.566
8192,30528,10176,164.408
8192,30720,10240,174.338
8192,30912,10304,162.424
8192,31104,10368,162.057
8192,31296,10432,162.422
8192,31488,10496,165.906
8192,31680,10560,187.61
8192,31872,10624,187.388
8192,32064,10688,161.648
8192,32256,10752,160.022
8192,32448,10816,169.77
8192,32640,10880,183.874
8192,32832,10944,192.028
8192,33024,11008,162.404
8192,33216,11072,171.589
8192,33408,11136,166.608
8192,33600,11200,184.065
8192,33792,11264,192.76
8192,33984,11328,160.731
8192,34176,11392,185.306
8192,34368,11456,161.762
8192,34560,11520,176.891
8192,34752,11584,179.842
8192,34944,11648,161.546
8192,35136,11712,162.812
8192,35328,11776,196.869
8192,35520,11840,184.266
