m,n,k,throughput
32,4096,32,0.196
64,4096,64,0.738
128,4096,128,2.824
256,4096,256,18.59
512,4096,512,50.84
1024,4096,1024,89.255
2048,4096,2048,230.17
4096,4096,4096,239.141
8192,4096,8192,255.853
16384,4096,16384,247.682
32768,4096,32768,183.837
65536,4096,65536,166.509
131072,4096,131072,163.647
32,4096,32,0.098
64,4096,64,0.386
128,4096,128,1.45
256,4096,256,5.276
512,4096,512,19.011
1024,4096,1024,57.053
2048,4096,2048,162.442
4096,4096,4096,219.467
8192,4096,8192,244.24
16384,4096,16384,243.703
32768,4096,32768,187.997
65536,4096,65536,182.147
