m,n,k,throughput,b
8192,64,2048,47.427,
8192,128,2048,77.583,
8192,192,2048,115.871,
8192,256,2048,132.725,
8192,320,2048,124.161,
8192,384,2048,137.307,
8192,448,2048,167.473,
8192,512,2048,150.806,
8192,576,2048,161.169,
8192,640,2048,167.458,
8192,704,2048,192.741,
8192,768,2048,177.772,
8192,832,2048,182.514,
8192,896,2048,184.13,
8192,960,2048,195.748,
8192,1024,2048,199.766,
8192,1088,2048,201.653,
8192,1152,2048,218.339,
8192,1216,2048,206.405,
8192,1280,2048,210.703,
8192,1344,2048,211.525,
8192,1408,2048,227.225,
8192,1472,2048,216.101,
8192,1536,2048,218.759,
8192,1600,2048,219.885,
8192,1664,2048,221.707,
8192,1728,2048,231.484,
8192,1792,2048,223.099,
8192,1856,2048,224.794,
8192,1920,2048,227.745,
8192,1984,2048,227.737,
8192,2048,2048,229.432,
8192,2112,2048,228.367,
8192,2176,2048,227.601,
8192,2240,2048,231.581,
8192,2304,2048,230.527,
8192,2368,2048,232.929,
8192,2432,2048,234.172,
8192,2496,2048,235.1,
8192,2560,2048,234.698,
8192,2624,2048,236.177,
8192,2688,2048,236.259,
8192,2752,2048,245.956,
8192,2816,2048,237.649,
8192,2880,2048,237.928,
8192,2944,2048,239.582,
8192,3008,2048,239.084,
8192,3072,2048,239.585,
8192,3136,2048,247.896,
8192,3200,2048,241.965,
8192,3264,2048,240.095,
8192,3328,2048,240.791,
8192,3392,2048,242.204,
8192,3456,2048,241.672,
8192,3520,2048,238.013,
8192,3584,2048,236.917,
8192,3648,2048,246.033,
8192,3712,2048,230.519,
8192,3776,2048,240.585,
8192,3840,2048,235.607,
8192,3904,2048,247.987,
8192,3968,2048,233.095,
8192,4032,2048,239.031,
8192,4096,2048,245.392,
8192,4160,2048,246.584,
8192,4224,2048,249.813,
8192,4288,2048,243.669,
8192,4352,2048,236.384,
8192,4416,2048,245.813,
8192,4480,2048,236.21,
8192,4544,2048,246.112,
8192,4608,2048,242.228,
8192,4672,2048,252.979,
8192,4736,2048,247.838,
8192,4800,2048,247.939,
8192,4864,2048,248.37,
8192,4928,2048,252.129,
8192,4992,2048,255.154,
8192,5056,2048,255.622,
8192,5120,2048,246.215,
8192,5184,2048,256.255,
8192,5248,2048,257.658,
8192,5312,2048,257.187,
8192,5376,2048,255.334,
8192,5440,2048,249.83,
8192,5504,2048,241.808,
8192,5568,2048,258.97,
8192,5632,2048,252.51,
8192,5696,2048,259.4,
8192,5760,2048,239.841,
8192,5824,2048,263.57,
8192,5888,2048,239.977,
8192,5952,2048,255.156,
8192,6016,2048,245.313,
8192,6080,2048,260.431,
8192,6144,2048,254.291,
8192,6208,2048,261.428,
8192,6272,2048,264.362,
8192,6336,2048,261.824,
8192,6400,2048,245.753,
8192,6464,2048,262.484,
8192,6528,2048,244.512,
8192,6592,2048,254.969,
8192,6656,2048,264.544,
8192,6720,2048,260.04,
8192,6784,2048,263.172,
8192,6848,2048,262.523,
8192,6912,2048,256.172,
8192,6976,2048,257.452,
8192,7040,2048,257.033,
8192,7104,2048,257.731,
8192,7168,2048,264.422,
8192,7232,2048,257.607,
8192,7296,2048,264.949,
8192,7360,2048,262.858,
8192,7424,2048,264.964,
8192,7488,2048,265.643,
8192,7552,2048,264.491,
8192,7616,2048,261.299,
8192,7680,2048,237.571,
8192,7744,2048,255.492,
8192,7808,2048,265.111,
8192,7872,2048,269.487,
8192,7936,2048,262.487,
8192,8000,2048,266.263,
8192,8064,2048,262.294,
8192,8128,2048,260.1,
8192,8192,2048,267.558,
8192,8256,2048,266.863,
