m,n,k,throughput
8192,128,384,20.173
8192,256,768,82.68
8192,384,1152,109.022
8192,512,1536,162.853
8192,640,1920,160.701
8192,768,2304,181.285
8192,896,2688,174.417
8192,1024,3072,208.022
8192,1152,3456,212.116
8192,1280,3840,223.597
8192,1408,4224,222.024
8192,1536,4608,226.069
8192,1664,4992,216.88
8192,1792,5376,242.652
8192,1920,5760,215.892
8192,2048,6144,243.249
8192,2176,6528,228.439
8192,2304,6912,240.239
8192,2432,7296,241.747
8192,2560,7680,237.357
8192,2688,8064,208.955
8192,2816,8448,251.749
8192,2944,8832,228.623
8192,3072,9216,250.582
8192,3200,9600,210.227
8192,3328,9984,243.726
8192,3456,10368,210.473
8192,3584,10752,236.174
8192,3712,11136,240.035
8192,3840,11520,140.864
8192,3968,11904,243.929
8192,4096,12288,150.246
8192,4224,12672,222.371
8192,4352,13056,137.686
8192,4480,13440,211.478
8192,4608,13824,231.788
8192,4736,14208,150.439
8192,4864,14592,230.482
8192,4992,14976,240.088
8192,5120,15360,135.687
8192,5248,15744,204.866
8192,5376,16128,167.934
8192,5504,16512,149.719
8192,5632,16896,148.732
8192,5760,17280,194.358
8192,5888,17664,168.682
8192,6016,18048,227.119
8192,6144,18432,148.161
8192,6272,18816,166.299
8192,6400,19200,149.687
8192,6528,19584,189.609
8192,6656,19968,235.38
8192,6784,20352,147.28
8192,6912,20736,181.847
8192,7040,21120,207.493
8192,7168,21504,215.397
8192,7296,21888,227.262
8192,7424,22272,148.094
8192,7552,22656,175.376
8192,7680,23040,159.846
8192,7808,23424,202.383
8192,7936,23808,206.672
8192,8064,24192,201.712
8192,8192,24576,202.843
8192,8320,24960,202.686
8192,8448,25344,207.741
8192,8576,25728,176.851
8192,8704,26112,169.789
8192,8832,26496,149.006
8192,8960,26880,203.399
8192,9088,27264,181.19
8192,9216,27648,165.46
8192,9344,28032,174.094
8192,9472,28416,188.657
8192,9600,28800,166.194
8192,9728,29184,204.661
8192,9856,29568,188.165
8192,9984,29952,203.767
8192,10112,30336,191.893
8192,10240,30720,181.728
8192,10368,31104,187.322
8192,10496,31488,200.083
8192,10624,31872,190.379
8192,10752,32256,192.152
8192,10880,32640,165.257
8192,11008,33024,193.681
8192,11136,33408,196.976
8192,11264,33792,190.544
8192,11392,34176,184.53
8192,11520,34560,175.705
8192,11648,34944,193.611
8192,11776,35328,187.724
8192,11904,35712,181.558
8192,12032,36096,199.601
8192,12160,36480,186.767
8192,12288,36864,198.978
8192,12416,37248,188.254
8192,12544,37632,188.397
8192,12672,38016,179.026
8192,12800,38400,188.324
8192,12928,38784,180.667
8192,13056,39168,181.112
8192,13184,39552,196.951
8192,13312,39936,165.112
8192,13440,40320,178.159
8192,13568,40704,194.017
8192,13696,41088,188.832
8192,13824,41472,187.331
8192,13952,41856,182.772
8192,14080,42240,185.144
8192,14208,42624,170.768
8192,14336,43008,183.917
8192,14464,43392,180.657
8192,14592,43776,182.634
8192,14720,44160,175.199
8192,14848,44544,164.6
8192,14976,44928,185.557
8192,15104,45312,179.142
8192,15232,45696,178.485
8192,15360,46080,167.872
8192,15488,46464,183.201
8192,15616,46848,179.782
8192,15744,47232,179.608
8192,15872,47616,164.236
8192,16000,48000,163.739
8192,16128,48384,163.945
8192,16256,48768,163.97
8192,16384,49152,170.532
8192,16512,49536,168.821
8192,16640,49920,183.526
8192,16768,50304,176.427
8192,16896,50688,178.918
8192,17024,51072,172.703
8192,17152,51456,178.775
8192,17280,51840,178.352
8192,17408,52224,164.67
8192,17536,52608,173.443
8192,17664,52992,176.259
8192,17792,53376,178.802
8192,17920,53760,169.167
8192,18048,54144,175.211
8192,18176,54528,183.76
8192,18304,54912,184.224
8192,18432,55296,170.327
8192,18560,55680,189.182
8192,18688,56064,174.051
8192,18816,56448,167.088
8192,18944,56832,173.651
8192,19072,57216,171.894
8192,19200,57600,177.438
8192,19328,57984,173.266
8192,19456,58368,178.525
8192,19584,58752,179.671
8192,19712,59136,169.681
8192,19840,59520,167.52
8192,19968,59904,184.363
8192,20096,60288,169.991
8192,20224,60672,168.376
8192,20352,61056,165.682
8192,20480,61440,162.686
8192,20608,61824,175.171
8192,20736,62208,176.457
8192,20864,62592,166.584
8192,20992,62976,166.319
8192,21120,63360,169.837
8192,21248,63744,180.618
8192,21376,64128,164.994
8192,21504,64512,168.921
8192,21632,64896,170.818
8192,21760,65280,170.172
8192,21888,65664,169.534
8192,22016,66048,178.314
8192,22144,66432,171.846
8192,22272,66816,169.113
8192,22400,67200,165.707
8192,22528,67584,167.461
8192,22656,67968,167.213
8192,22784,68352,166.976
8192,22912,68736,169.728
8192,23040,69120,152.998
8192,23168,69504,163.083
8192,23296,69888,175.158
8192,23424,70272,163.653
8192,23552,70656,169.93
8192,23680,71040,163.06
8192,23808,71424,166.908
8192,23936,71808,163.352
8192,24064,72192,164.358
8192,24192,72576,163.624
8192,24320,72960,165.603
8192,24448,73344,162.706
8192,24576,73728,164.415
8192,24704,74112,172.677
8192,24832,74496,164.733
8192,24960,74880,163.492
8192,25088,75264,164.604
8192,25216,75648,165.199
8192,25344,76032,163.763
8192,25472,76416,166.799
8192,25600,76800,160.009
8192,25728,77184,172.237
8192,25856,77568,168.564
8192,25984,77952,162.251
8192,26112,78336,159.685
8192,26240,78720,166.842
8192,26368,79104,165.235
8192,26496,79488,163.207
8192,26624,79872,170.408
8192,26752,80256,167.831
8192,26880,80640,159.36
8192,27008,81024,166.967
8192,27136,81408,161.679
8192,27264,81792,172.321
8192,27392,82176,166.006
8192,27520,82560,162.763
8192,27648,82944,163.297
8192,27776,83328,163.201
8192,27904,83712,164.735
8192,28032,84096,164.885
8192,28160,84480,161.7
8192,28288,84864,164.777
8192,28416,85248,162.446
8192,28544,85632,165.31
8192,28672,86016,163.515
8192,28800,86400,164.89
8192,28928,86784,162.084
8192,29056,87168,169.614
