num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
16,16,4,2048,51200,256,1,1,1,0.279,0.979,0.916,0.091,0.364,0.0,14.081,0.0022,0.501,0.0,0.728,0.0023,0.489
16,32,4,2048,51200,256,1,1,1,1.183,2.31,1.812,0.367,1.501,0.0,24.382,0.0022,0.986,0.0,3.001,0.0024,0.992
16,48,4,2048,51200,256,1,1,1,2.646,2.878,2.551,0.812,3.26,0.0,33.73,0.0025,1.363,0.0,6.52,0.0026,1.416
16,64,4,2048,51200,256,1,1,1,4.462,4.571,3.582,1.412,5.918,0.0,44.346,0.0024,1.923,0.0,11.836,0.0025,2.046
16,80,4,2048,51200,256,1,1,1,7.336,4.725,4.245,2.304,9.329,0.0,60.942,0.0024,2.422,0.0,18.658,0.0025,2.639
16,96,4,2048,51200,256,1,1,1,9.469,6.655,5.312,3.352,13.292,0.0,72.067,0.0023,3.063,0.0,26.584,0.0024,3.409
16,112,4,2048,51200,256,1,1,1,13.545,6.58,5.84,4.523,18.925,0.0,82.699,0.0024,3.415,0.0,37.849,0.0026,3.899
16,128,4,2048,51200,256,1,1,1,17.976,8.856,7.088,5.736,27.06,0.0,95.001,0.0023,4.178,0.0,54.12,0.0024,4.862
16,144,4,2048,51200,256,1,1,1,22.75,8.372,7.446,7.322,29.44,0.0,95.548,0.0026,4.27,0.0,58.88,0.0027,5.081
16,160,4,2048,51200,256,1,1,1,58.689,10.847,8.772,9.745,37.992,0.0001,104.55,0.0025,5.057,0.0,75.984,0.0026,6.066
16,176,4,2048,51200,256,1,1,1,34.353,10.234,9.022,11.472,59.289,0.0,114.279,0.0026,5.299,0.0,118.577,0.0027,6.583
16,192,4,2048,51200,256,1,1,1,53.292,13.035,10.613,13.245,68.947,0.0,124.46,0.0025,6.182,0.0,137.895,0.0026,7.781
16,208,4,2048,51200,256,1,1,1,49.5,12.07,10.724,15.71,58.485,0.0,132.152,0.0026,6.368,0.0,116.97,0.0028,8.124
16,224,4,2048,51200,256,1,1,1,55.05,14.894,12.095,17.965,67.384,0.0,142.275,0.0025,7.22,0.0,134.768,0.0027,9.274
16,240,4,2048,51200,256,1,1,1,57.08,13.72,12.181,21.566,75.497,0.0,150.432,0.0027,7.419,0.0,150.995,0.0028,9.792
16,256,4,2048,51200,256,1,1,1,66.775,16.555,14.184,31.433,82.342,0.0,161.261,0.0025,8.459,0.0001,164.684,0.0027,11.282
16,272,4,2048,51200,256,1,1,1,67.643,16.867,10.639,28.111,77.109,0.0,135.037,0.0032,7.252,0.0001,154.218,0.0033,9.836
16,288,4,2048,51200,256,1,1,1,105.948,18.538,12.358,31.226,88.937,0.0,140.768,0.0031,7.984,0.0001,177.874,0.0033,10.958
16,304,4,2048,51200,256,1,1,1,98.749,18.831,11.875,34.412,86.325,0.0,148.381,0.0032,8.244,0.0001,172.65,0.0034,11.45
16,320,4,2048,51200,256,1,1,1,96.941,19.06,13.54,36.987,88.023,0.0001,149.144,0.0033,8.663,0.0001,176.046,0.0034,12.125
16,336,4,2048,51200,256,1,1,1,79.82,20.187,13.119,40.635,98.075,0.0,153.283,0.0034,8.882,0.0001,196.149,0.0035,12.66
16,352,4,2048,51200,256,1,1,1,94.45,22.359,14.873,48.612,102.839,0.0,166.824,0.0032,9.924,0.0001,205.678,0.0034,14.26
16,368,4,2048,51200,256,1,1,1,93.07,22.49,14.272,52.528,110.497,0.0,166.656,0.0034,9.931,0.0001,220.995,0.0036,14.43
16,384,4,2048,51200,256,1,1,1,116.001,22.933,16.302,54.609,115.594,0.0,175.54,0.0033,10.757,0.0001,231.188,0.0035,15.774
16,400,4,2048,51200,256,1,1,1,123.497,24.378,14.449,43.866,121.027,0.0,177.492,0.0035,10.686,0.0001,242.054,0.0037,15.876
16,416,4,2048,51200,256,1,1,1,113.839,26.073,17.447,66.998,129.114,0.0,182.965,0.0034,11.685,0.0001,258.229,0.0035,17.504
16,432,4,2048,51200,256,1,1,1,103.86,26.226,15.593,83.634,151.669,0.0,185.718,0.0036,11.584,0.0001,303.338,0.0037,17.602
16,448,4,2048,51200,256,1,1,1,118.002,26.171,18.627,73.532,144.352,0.0,194.995,0.0034,12.574,0.0001,288.704,0.0036,19.218
16,464,4,2048,51200,256,1,1,1,119.277,27.794,16.648,77.491,126.612,0.0,191.755,0.0037,12.365,0.0001,253.224,0.0039,19.015
16,480,4,2048,51200,256,1,1,1,130.108,29.791,20.015,83.515,136.969,0.0001,200.572,0.0035,13.575,0.0001,273.939,0.0037,20.945
16,496,4,2048,51200,256,1,1,1,121.799,29.618,17.763,84.537,149.841,0.0,201.767,0.0037,13.325,0.0001,299.682,0.0039,20.9
16,512,4,2048,51200,256,1,1,1,128.643,32.327,21.511,91.93,149.338,0.0001,217.198,0.0035,14.92,0.0001,298.676,0.0037,23.263
16,528,4,2048,51200,256,1,1,1,145.774,29.698,20.609,69.798,126.177,0.0001,124.097,0.0052,10.358,0.0001,252.353,0.0055,16.493
16,544,4,2048,51200,256,1,1,1,146.632,32.624,23.378,77.603,138.216,0.0001,133.452,0.0049,11.359,0.0001,276.432,0.0052,18.185
16,560,4,2048,51200,256,1,1,1,134.644,31.647,21.805,77.849,129.421,0.0001,136.343,0.0051,11.44,0.0002,258.842,0.0054,18.435
16,576,4,2048,51200,256,1,1,1,158.633,36.037,24.075,86.01,140.824,0.0001,138.381,0.005,12.087,0.0002,281.649,0.0053,19.604
16,592,4,2048,51200,256,1,1,1,144.417,33.037,22.799,75.394,142.481,0.0001,142.405,0.0052,12.162,0.0002,284.963,0.0055,19.88
16,608,4,2048,51200,256,1,1,1,143.566,35.968,26.252,99.223,158.135,0.0001,150.11,0.0049,13.191,0.0002,316.27,0.0052,21.653
16,624,4,2048,51200,256,1,1,1,130.728,34.939,24.261,86.303,150.39,0.0001,151.457,0.0051,13.115,0.0002,300.78,0.0055,21.713
16,640,4,2048,51200,256,1,1,1,163.627,39.47,26.657,97.656,182.758,0.0001,152.84,0.0051,13.809,0.0001,365.517,0.0053,23.131
16,656,4,2048,51200,256,1,1,1,149.125,36.511,24.626,81.303,144.067,0.0001,154.545,0.0053,13.664,0.0002,288.133,0.0056,22.855
16,672,4,2048,51200,256,1,1,1,155.698,39.957,29.13,134.425,158.499,0.0001,158.618,0.0051,14.675,0.0002,316.999,0.0054,24.683
16,688,4,2048,51200,256,1,1,1,136.408,37.984,25.758,97.92,147.607,0.0001,162.04,0.0053,14.522,0.0002,295.214,0.0057,24.532
16,704,4,2048,51200,256,1,1,1,148.034,42.431,29.0,107.866,166.602,0.0001,168.066,0.0051,15.556,0.0002,333.204,0.0055,26.458
16,720,4,2048,51200,256,1,1,1,147.73,39.762,26.927,103.883,154.764,0.0001,166.415,0.0054,15.272,0.0002,309.529,0.0058,26.102
16,736,4,2048,51200,256,1,1,1,154.943,43.546,32.089,116.289,169.567,0.0001,170.508,0.0052,16.307,0.0002,339.134,0.0056,28.013
16,752,4,2048,51200,256,1,1,1,140.212,41.48,27.78,126.16,157.358,0.0001,179.484,0.0053,16.505,0.0002,314.715,0.0057,28.5
16,768,4,2048,51200,256,1,1,1,162.579,45.052,32.007,114.716,177.968,0.0001,181.033,0.0052,17.35,0.0002,355.937,0.0056,30.111
16,784,4,2048,51200,256,1,1,1,153.389,35.954,27.698,108.988,154.693,0.0001,173.776,0.0058,16.141,0.0003,309.386,0.0062,28.124
16,800,4,2048,51200,256,1,1,1,173.299,44.955,34.387,119.373,175.171,0.0001,176.706,0.0054,17.563,0.0002,350.343,0.0059,30.624
16,816,4,2048,51200,256,1,1,1,157.529,37.668,28.543,130.871,163.559,0.0001,177.081,0.0058,16.841,0.0003,327.118,0.0063,29.656
16,832,4,2048,51200,256,1,1,1,144.073,47.693,34.317,139.261,182.631,0.0001,180.677,0.0056,18.138,0.0002,365.262,0.006,32.12
16,848,4,2048,51200,256,1,1,1,156.119,38.422,29.571,121.013,166.081,0.0001,187.1,0.0058,17.849,0.0003,332.162,0.0063,31.66
16,864,4,2048,51200,256,1,1,1,172.229,48.344,37.421,120.475,192.305,0.0001,178.615,0.0057,18.603,0.0003,384.61,0.0062,33.273
16,880,4,2048,51200,256,1,1,1,150.71,38.799,30.692,122.944,171.549,0.0001,192.255,0.0059,18.553,0.0003,343.098,0.0064,33.19
16,896,4,2048,51200,256,1,1,1,169.502,50.329,37.413,144.861,201.368,0.0001,188.944,0.0057,19.771,0.0003,402.735,0.0061,35.69
16,912,4,2048,51200,256,1,1,1,156.038,39.833,30.497,135.73,171.628,0.0001,197.575,0.006,19.265,0.0003,343.257,0.0065,34.752
16,928,4,2048,51200,256,1,1,1,178.693,51.67,39.933,140.534,202.144,0.0001,198.179,0.0056,21.02,0.0003,404.288,0.0061,38.122
16,944,4,2048,51200,256,1,1,1,159.858,41.634,31.456,138.261,189.911,0.0001,198.015,0.0061,19.808,0.0003,379.822,0.0066,36.124
16,960,4,2048,51200,256,1,1,1,188.367,53.816,39.745,148.383,203.717,0.0001,197.856,0.0058,21.442,0.0003,407.434,0.0063,39.182
16,976,4,2048,51200,256,1,1,1,168.518,42.964,32.3,141.368,166.777,0.0001,192.164,0.0064,19.911,0.0004,333.554,0.007,36.359
16,992,4,2048,51200,256,1,1,1,167.761,54.61,42.28,155.506,179.183,0.0001,202.576,0.0059,22.227,0.0004,358.366,0.0064,40.58
