num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_key_value_query_transform,attention_key_query_prob,attention_prob_times_values,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
24,24,4,2048,51200,256,1,1,1,0.625,1.007,0.928,0.202,0.834,0.0,18.443,0.0029,0.578,0.0,1.667,0.003,0.58
24,48,4,2048,51200,256,1,1,1,2.578,2.334,1.853,0.805,3.358,0.0,33.617,0.0028,1.184,0.0,6.717,0.003,1.238
24,72,4,2048,51200,256,1,1,1,5.718,2.926,2.709,1.846,7.503,0.0,55.124,0.0029,1.781,0.0,15.006,0.003,1.934
24,96,4,2048,51200,256,1,1,1,10.221,4.653,3.678,3.305,13.929,0.0,73.04,0.0028,2.552,0.0,27.859,0.0029,2.865
24,120,4,2048,51200,256,1,1,1,16.204,4.803,4.472,5.314,23.221,0.0,87.091,0.003,3.016,0.0,46.443,0.0031,3.513
24,144,4,2048,51200,256,1,1,1,23.506,6.715,5.46,7.611,29.802,0.0,95.097,0.003,3.72,0.0,59.603,0.0031,4.458
24,168,4,2048,51200,256,1,1,1,31.702,6.717,6.229,10.231,40.922,0.0,109.254,0.0031,4.202,0.0,81.845,0.0032,5.185
24,192,4,2048,51200,256,1,1,1,39.946,8.95,7.253,12.994,51.534,0.0,124.038,0.003,5.103,0.0,103.068,0.0031,6.45
24,216,4,2048,51200,256,1,1,1,45.501,8.548,7.888,16.972,82.372,0.0,135.771,0.0032,5.491,0.0,164.744,0.0033,7.151
24,240,4,2048,51200,256,1,1,1,53.865,10.875,8.973,20.551,66.366,0.0001,150.883,0.0031,6.474,0.0001,132.731,0.0032,8.492
24,264,4,2048,51200,256,1,1,1,57.867,10.42,9.598,24.03,68.377,0.0,138.703,0.0035,6.41,0.0001,136.754,0.0036,8.632
24,288,4,2048,51200,256,1,1,1,73.431,13.102,10.745,30.012,83.783,0.0001,146.497,0.0034,7.311,0.0001,167.565,0.0036,9.993
