m,n,k,throughput
64,2048,2048,17.992
128,2048,2048,26.897
192,2048,2048,39.322
256,2048,2048,55.924
320,2048,2048,56.776
384,2048,2048,85.308
448,2048,2048,64.0
512,2048,2048,76.586
576,2048,2048,85.308
640,2048,2048,109.298
704,2048,2048,123.238
768,2048,2048,141.282
832,2048,2048,123.572
896,2048,2048,138.983
960,2048,2048,146.101
1024,2048,2048,136.262
1088,2048,2048,128.764
1152,2048,2048,134.367
1216,2048,2048,151.074
1280,2048,2048,151.83
1344,2048,2048,174.417
1408,2048,2048,167.963
1472,2048,2048,161.963
1536,2048,2048,185.341
1600,2048,2048,166.606
1664,2048,2048,192.162
1728,2048,2048,169.816
1792,2048,2048,193.318
1856,2048,2048,189.131
1920,2048,2048,179.917
1984,2048,2048,175.411
2048,2048,2048,204.717
2112,2048,2048,190.749
2176,2048,2048,209.33
2240,2048,2048,195.734
2304,2048,2048,181.103
2368,2048,2048,185.716
2432,2048,2048,175.267
2496,2048,2048,175.301
2560,2048,2048,179.316
2624,2048,2048,185.284
2688,2048,2048,189.675
2752,2048,2048,181.375
2816,2048,2048,170.484
2880,2048,2048,187.805
2944,2048,2048,183.097
3008,2048,2048,193.742
3072,2048,2048,188.596
3136,2048,2048,197.498
3200,2048,2048,206.743
3264,2048,2048,194.132
3328,2048,2048,198.728
3392,2048,2048,203.012
3456,2048,2048,204.162
3520,2048,2048,227.839
3584,2048,2048,210.538
3648,2048,2048,198.403
3712,2048,2048,179.618
3776,2048,2048,205.898
3840,2048,2048,177.302
3904,2048,2048,199.301
3968,2048,2048,215.026
4032,2048,2048,220.776
4096,2048,2048,208.899
4160,2048,2048,211.957
4224,2048,2048,220.357
4288,2048,2048,218.055
4352,2048,2048,221.417
4416,2048,2048,183.459
4480,2048,2048,209.155
4544,2048,2048,177.988
4608,2048,2048,203.789
4672,2048,2048,207.231
4736,2048,2048,191.814
4800,2048,2048,199.967
4864,2048,2048,176.175
4928,2048,2048,199.976
4992,2048,2048,203.202
5056,2048,2048,213.688
5120,2048,2048,215.611
5184,2048,2048,219.098
5248,2048,2048,237.4
5312,2048,2048,208.381
5376,2048,2048,236.954
5440,2048,2048,201.137
5504,2048,2048,181.947
5568,2048,2048,200.911
5632,2048,2048,201.075
5696,2048,2048,191.678
5760,2048,2048,203.978
5824,2048,2048,205.828
5888,2048,2048,210.287
5952,2048,2048,212.935
6016,2048,2048,210.555
6080,2048,2048,216.407
6144,2048,2048,225.655
6208,2048,2048,215.62
6272,2048,2048,231.491
6336,2048,2048,233.689
6400,2048,2048,212.303
6464,2048,2048,228.909
6528,2048,2048,228.246
6592,2048,2048,233.363
6656,2048,2048,234.994
6720,2048,2048,219.515
6784,2048,2048,230.361
6848,2048,2048,207.713
6912,2048,2048,227.702
6976,2048,2048,233.553
7040,2048,2048,223.425
7104,2048,2048,234.395
7168,2048,2048,233.495
7232,2048,2048,204.402
7296,2048,2048,213.341
7360,2048,2048,199.936
7424,2048,2048,199.299
7488,2048,2048,200.709
7552,2048,2048,202.424
7616,2048,2048,212.675
7680,2048,2048,215.958
7744,2048,2048,207.624
7808,2048,2048,216.882
7872,2048,2048,214.288
7936,2048,2048,220.029
8000,2048,2048,220.695
8064,2048,2048,225.126
8128,2048,2048,217.197
8192,2048,2048,219.299
8256,2048,2048,206.563
8320,2048,2048,224.907
8384,2048,2048,227.282
8448,2048,2048,236.223
8512,2048,2048,233.835
8576,2048,2048,228.819
8640,2048,2048,231.884
8704,2048,2048,233.601
8768,2048,2048,235.319
8832,2048,2048,236.976
8896,2048,2048,244.769
8960,2048,2048,238.397
9024,2048,2048,215.789
9088,2048,2048,219.32
9152,2048,2048,229.968
9216,2048,2048,221.593
9280,2048,2048,226.14
9344,2048,2048,222.074
9408,2048,2048,223.19
9472,2048,2048,230.765
9536,2048,2048,216.809
9600,2048,2048,219.693
9664,2048,2048,220.532
9728,2048,2048,221.318
9792,2048,2048,229.804
9856,2048,2048,225.109
9920,2048,2048,225.931
9984,2048,2048,225.868
10048,2048,2048,227.561
10112,2048,2048,226.516
10176,2048,2048,231.41
10240,2048,2048,231.81
10304,2048,2048,232.856
10368,2048,2048,235.215
10432,2048,2048,236.36
10496,2048,2048,232.682
10560,2048,2048,247.22
10624,2048,2048,240.399
10688,2048,2048,241.847
10752,2048,2048,243.295
10816,2048,2048,239.979
10880,2048,2048,247.742
10944,2048,2048,244.37
11008,2048,2048,244.912
11072,2048,2048,251.404
11136,2048,2048,246.193
11200,2048,2048,248.131
11264,2048,2048,228.059
11328,2048,2048,231.862
11392,2048,2048,235.099
11456,2048,2048,225.333
11520,2048,2048,227.788
11584,2048,2048,229.356
11648,2048,2048,225.056
11712,2048,2048,229.079
11776,2048,2048,229.816
11840,2048,2048,231.842
11904,2048,2048,234.541
11968,2048,2048,242.266
12032,2048,2048,236.973
12096,2048,2048,239.629
12160,2048,2048,244.172
12224,2048,2048,247.209
12288,2048,2048,244.356
12352,2048,2048,240.074
12416,2048,2048,244.674
12480,2048,2048,251.997
12544,2048,2048,245.398
12608,2048,2048,227.664
12672,2048,2048,227.995
12736,2048,2048,230.65
12800,2048,2048,231.131
12864,2048,2048,227.853
12928,2048,2048,227.488
12992,2048,2048,220.546
13056,2048,2048,221.668
13120,2048,2048,247.612
13184,2048,2048,246.381
13248,2048,2048,246.961
13312,2048,2048,249.351
13376,2048,2048,254.228
13440,2048,2048,250.763
13504,2048,2048,234.359
13568,2048,2048,238.95
13632,2048,2048,237.406
13696,2048,2048,238.046
13760,2048,2048,238.328
13824,2048,2048,240.39
13888,2048,2048,241.583
13952,2048,2048,240.028
14016,2048,2048,243.729
14080,2048,2048,245.371
14144,2048,2048,245.547
14208,2048,2048,246.986
14272,2048,2048,254.902
14336,2048,2048,247.284
14400,2048,2048,232.336
14464,2048,2048,231.41
14528,2048,2048,233.324
14592,2048,2048,239.75
14656,2048,2048,236.175
14720,2048,2048,237.718
14784,2048,2048,233.361
14848,2048,2048,226.792
14912,2048,2048,233.972
14976,2048,2048,233.301
15040,2048,2048,236.689
15104,2048,2048,236.348
15168,2048,2048,235.452
15232,2048,2048,237.465
15296,2048,2048,238.854
15360,2048,2048,241.11
15424,2048,2048,238.368
15488,2048,2048,241.098
15552,2048,2048,243.54
15616,2048,2048,241.584
15680,2048,2048,241.86
15744,2048,2048,244.828
15808,2048,2048,245.351
15872,2048,2048,246.453
15936,2048,2048,244.622
16000,2048,2048,249.438
16064,2048,2048,248.661
16128,2048,2048,249.211
16192,2048,2048,233.222
16256,2048,2048,236.417
16320,2048,2048,236.429
16384,2048,2048,238.014
16448,2048,2048,234.175
16512,2048,2048,236.209
16576,2048,2048,241.64
16640,2048,2048,238.56
16704,2048,2048,240.102
16768,2048,2048,242.853
16832,2048,2048,237.705
16896,2048,2048,239.642
16960,2048,2048,244.082
17024,2048,2048,239.225
17088,2048,2048,240.382
17152,2048,2048,239.26
17216,2048,2048,241.631
17280,2048,2048,243.638
17344,2048,2048,248.585
17408,2048,2048,242.187
17472,2048,2048,244.766
17536,2048,2048,245.991
17600,2048,2048,250.508
17664,2048,2048,247.787
17728,2048,2048,247.922
17792,2048,2048,250.487
17856,2048,2048,249.545
17920,2048,2048,254.2
17984,2048,2048,236.311
18048,2048,2048,238.106
18112,2048,2048,243.235
18176,2048,2048,239.013
18240,2048,2048,235.368
18304,2048,2048,236.456
18368,2048,2048,239.109
18432,2048,2048,239.675
18496,2048,2048,238.437
