num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size
8,8,4,2048,51200,256,1,1,1
24,24,4,2048,51200,256,1,1,1
32,32,4,2048,51200,256,1,1,1
16,16,4,2048,51200,256,1,1,1
48,48,4,2048,51200,256,1,1,1
40,40,4,2048,51200,256,1,1,1
80,80,4,2048,51200,256,1,1,1
96,96,4,2048,51200,256,1,1,1
56,56,4,2048,51200,256,1,1,1
64,64,4,2048,51200,256,1,1,1
128,128,4,2048,51200,256,1,1,1
72,72,4,2048,51200,256,1,1,1
32,32,4,2048,51200,256,1,1,1
40,40,4,2048,51200,256,1,1,1
48,48,4,2048,51200,256,1,1,1
24,24,4,2048,51200,256,1,1,1
8,8,4,2048,51200,256,1,1,1
16,16,4,2048,51200,256,1,1,1
128,128,4,2048,51200,256,1,1,1
80,80,4,2048,51200,256,1,1,1
56,56,4,2048,51200,256,1,1,1
72,72,4,2048,51200,256,1,1,1
64,64,4,2048,51200,256,1,1,1
96,96,4,2048,51200,256,1,1,1
32,32,4,2048,51200,256,1,1,1
8,8,4,2048,51200,256,1,1,1
24,24,4,2048,51200,256,1,1,1
48,48,4,2048,51200,256,1,1,1
16,16,4,2048,51200,256,1,1,1
40,40,4,2048,51200,256,1,1,1
64,64,4,2048,51200,256,1,1,1
128,128,4,2048,51200,256,1,1,1
72,72,4,2048,51200,256,1,1,1
96,96,4,2048,51200,256,1,1,1
80,80,4,2048,51200,256,1,1,1
56,56,4,2048,51200,256,1,1,1
32,32,4,2048,51200,256,1,1,1
48,48,4,2048,51200,256,1,1,1
40,40,4,2048,51200,256,1,1,1
16,16,4,2048,51200,256,1,1,1
24,24,4,2048,51200,256,1,1,1
8,8,4,2048,51200,256,1,1,1
72,72,4,2048,51200,256,1,1,1
128,128,4,2048,51200,256,1,1,1
80,80,4,2048,51200,256,1,1,1
96,96,4,2048,51200,256,1,1,1
56,56,4,2048,51200,256,1,1,1
64,64,4,2048,51200,256,1,1,1
16,16,4,2048,51200,256,1,1,1
32,32,4,2048,51200,256,1,1,1
8,8,4,2048,51200,256,1,1,1
40,40,4,2048,51200,256,1,1,1
48,48,4,2048,51200,256,1,1,1
24,24,4,2048,51200,256,1,1,1
64,64,4,2048,51200,256,1,1,1
96,96,4,2048,51200,256,1,1,1
72,72,4,2048,51200,256,1,1,1
80,80,4,2048,51200,256,1,1,1
128,128,4,2048,51200,256,1,1,1
56,56,4,2048,51200,256,1,1,1
16,16,4,2048,51200,256,1,1,1
48,48,4,2048,51200,256,1,1,1
40,40,4,2048,51200,256,1,1,1
8,8,4,2048,51200,256,1,1,1
24,24,4,2048,51200,256,1,1,1
32,32,4,2048,51200,256,1,1,1
64,64,4,2048,51200,256,1,1,1
128,128,4,2048,51200,256,1,1,1
96,96,4,2048,51200,256,1,1,1
80,80,4,2048,51200,256,1,1,1
72,72,4,2048,51200,256,1,1,1
56,56,4,2048,51200,256,1,1,1
48,48,4,2048,51200,256,1,1,1
8,8,4,2048,51200,256,1,1,1
32,32,4,2048,51200,256,1,1,1
24,24,4,2048,51200,256,1,1,1
40,40,4,2048,51200,256,1,1,1
16,16,4,2048,51200,256,1,1,1
80,80,4,2048,51200,256,1,1,1
72,72,4,2048,51200,256,1,1,1
96,96,4,2048,51200,256,1,1,1
128,128,4,2048,51200,256,1,1,1
56,56,4,2048,51200,256,1,1,1
64,64,4,2048,51200,256,1,1,1
