b,m,n,k,throughput
1,32,4096,32,0.177
2,32,4096,32,0.381
4,32,4096,32,0.793
8,32,4096,32,1.58
16,32,4096,32,3.142
32,32,4096,32,6.112
64,32,4096,32,11.815
1,64,4096,64,0.692
2,64,4096,64,1.556
4,64,4096,64,3.113
8,64,4096,64,6.068
16,64,4096,64,11.984
32,64,4096,64,23.547
64,64,4096,64,31.286
1,128,4096,128,2.848
2,128,4096,128,6.225
4,128,4096,128,12.591
8,128,4096,128,23.967
16,128,4096,128,40.005
32,128,4096,128,60.12
64,128,4096,128,78.894
1,256,4096,256,11.374
2,256,4096,256,23.755
4,256,4096,256,39.709
8,256,4096,256,60.732
16,256,4096,256,97.436
32,256,4096,256,147.492
64,256,4096,256,100.797
1,512,4096,512,37.596
2,512,4096,512,60.939
4,512,4096,512,99.421
8,512,4096,512,142.123
16,512,4096,512,152.466
32,512,4096,512,154.412
64,512,4096,512,166.166
1,1024,4096,1024,110.581
2,1024,4096,1024,143.837
4,1024,4096,1024,152.034
8,1024,4096,1024,179.781
16,1024,4096,1024,200.185
32,1024,4096,1024,203.915
64,1024,4096,1024,208.405
1,2048,4096,2048,209.92
2,2048,4096,2048,158.749
4,2048,4096,2048,232.098
8,2048,4096,2048,227.684
16,2048,4096,2048,224.097
32,2048,4096,2048,142.403
64,2048,4096,2048,144.642
1,4096,4096,4096,232.916
2,4096,4096,4096,221.077
4,4096,4096,4096,219.881
8,4096,4096,4096,204.544
16,4096,4096,4096,158.119
32,4096,4096,4096,161.702
64,4096,4096,4096,147.441
1,8192,4096,8192,240.547
2,8192,4096,8192,152.117
4,8192,4096,8192,152.662
8,8192,4096,8192,150.097
16,8192,4096,8192,150.069
32,8192,4096,8192,150.446
64,8192,4096,8192,161.653
