m,n,k,throughput
2304,4096,1536,207.316
2304,4096,1600,196.301
2304,4096,1664,203.835
2304,4096,1728,217.201
2304,4096,1792,211.817
2304,4096,1856,182.3
2304,4096,1920,182.361
2304,4096,1984,180.032
2304,4096,2048,199.993
2304,4096,2112,202.719
2304,4096,2176,195.574
2304,4096,2240,199.202
2304,4096,2304,192.214
2304,4096,2368,191.133
2304,4096,2432,189.931
2304,4096,2496,198.276
2304,4096,2560,209.497
2304,4096,2624,193.704
2304,4096,2688,209.715
2304,4096,2752,202.267
2304,4096,2816,206.457
2304,4096,2880,216.325
2304,4096,2944,232.923
2304,4096,3008,223.59
2304,4096,3072,242.887
2304,4096,3136,208.416
2304,4096,3200,203.223
2304,4096,3264,210.058
2304,4096,3328,209.939
2304,4096,3392,204.778
2304,4096,3456,208.589
2304,4096,3520,206.894
2304,4096,3584,207.91
2304,4096,3648,199.322
2304,4096,3712,197.157
2304,4096,3776,215.29
2304,4096,3840,208.365
2304,4096,3904,203.058
2304,4096,3968,214.423
2304,4096,4032,221.431
2304,4096,4096,222.665
2304,4096,4160,212.992
2304,4096,4224,215.894
2304,4096,4288,217.282
2304,4096,4352,214.49
2304,4096,4416,224.298
2304,4096,4480,227.158
2304,4096,4544,230.452
2304,4096,4608,237.631
2304,4096,4672,213.907
2304,4096,4736,221.831
2304,4096,4800,223.984
2304,4096,4864,223.391
2304,4096,4928,216.591
2304,4096,4992,221.467
2304,4096,5056,222.258
2304,4096,5120,226.804
2304,4096,5184,220.809
2304,4096,5248,223.535
2304,4096,5312,217.466
2304,4096,5376,224.687
2304,4096,5440,217.83
2304,4096,5504,226.072
2304,4096,5568,227.591
2304,4096,5632,228.387
2304,4096,5696,225.026
2304,4096,5760,226.908
2304,4096,5824,224.629
2304,4096,5888,232.494
2304,4096,5952,227.52
2304,4096,6016,236.756
2304,4096,6080,235.968
