m,n,k,throughput
8192,64,2048,49.71
8192,128,2048,98.328
8192,192,2048,113.905
8192,256,2048,140.542
8192,320,2048,153.919
8192,384,2048,138.966
8192,448,2048,139.499
8192,512,2048,174.592
8192,576,2048,173.682
8192,640,2048,168.298
8192,704,2048,176.92
8192,768,2048,175.067
8192,832,2048,181.093
8192,896,2048,179.384
8192,960,2048,185.897
8192,1024,2048,192.169
8192,1088,2048,202.278
8192,1152,2048,211.923
8192,1216,2048,185.802
8192,1280,2048,201.755
8192,1344,2048,205.885
8192,1408,2048,207.65
8192,1472,2048,215.724
8192,1536,2048,210.951
8192,1600,2048,223.027
8192,1664,2048,200.153
8192,1728,2048,215.131
8192,1792,2048,216.48
8192,1856,2048,210.966
8192,1920,2048,216.306
8192,1984,2048,220.204
8192,2048,2048,195.315
8192,2112,2048,227.021
8192,2176,2048,208.279
8192,2240,2048,215.933
8192,2304,2048,215.227
8192,2368,2048,191.076
8192,2432,2048,230.521
8192,2496,2048,205.194
8192,2560,2048,218.818
8192,2624,2048,218.544
8192,2688,2048,223.077
8192,2752,2048,203.36
8192,2816,2048,230.192
8192,2880,2048,216.752
8192,2944,2048,229.389
8192,3008,2048,192.559
8192,3072,2048,230.417
8192,3136,2048,231.328
8192,3200,2048,219.741
8192,3264,2048,228.78
8192,3328,2048,216.045
8192,3392,2048,234.809
8192,3456,2048,213.704
8192,3520,2048,230.867
8192,3584,2048,235.765
8192,3648,2048,223.012
8192,3712,2048,231.858
8192,3776,2048,239.602
8192,3840,2048,201.427
8192,3904,2048,240.237
8192,3968,2048,208.011
