m,n,k,throughput
8192,64,2048,66.28
8192,128,2048,101.106
8192,192,2048,93.423
8192,256,2048,135.917
8192,320,2048,146.847
8192,384,2048,135.917
8192,448,2048,137.861
8192,512,2048,148.718
8192,576,2048,164.014
8192,640,2048,174.763
8192,704,2048,188.918
8192,768,2048,196.656
8192,832,2048,199.523
8192,896,2048,177.856
8192,960,2048,196.225
8192,1024,2048,192.946
8192,1088,2048,195.268
8192,1152,2048,197.864
8192,1216,2048,213.222
8192,1280,2048,197.888
8192,1344,2048,204.615
8192,1408,2048,220.687
8192,1472,2048,220.974
8192,1536,2048,214.462
8192,1600,2048,210.373
8192,1664,2048,223.625
8192,1728,2048,206.548
8192,1792,2048,197.795
8192,1856,2048,228.422
8192,1920,2048,208.899
8192,1984,2048,210.938
8192,2048,2048,220.142
8192,2112,2048,193.88
8192,2176,2048,215.103
8192,2240,2048,214.405
8192,2304,2048,200.408
8192,2368,2048,218.962
8192,2432,2048,199.815
8192,2496,2048,222.65
8192,2560,2048,217.005
8192,2624,2048,209.555
8192,2688,2048,226.391
8192,2752,2048,211.212
8192,2816,2048,224.163
8192,2880,2048,210.446
8192,2944,2048,225.989
8192,3008,2048,222.356
8192,3072,2048,227.85
8192,3136,2048,206.846
8192,3200,2048,233.26
8192,3264,2048,237.595
8192,3328,2048,229.357
8192,3392,2048,229.136
8192,3456,2048,233.197
8192,3520,2048,221.847
8192,3584,2048,230.099
8192,3648,2048,237.48
8192,3712,2048,231.962
8192,3776,2048,238.735
8192,3840,2048,227.391
8192,3904,2048,237.657
8192,3968,2048,238.678
