m,n,k,throughput
8192,128,384,15.183
8192,256,768,92.14
8192,384,1152,108.629
8192,512,1536,163.514
8192,640,1920,155.922
8192,768,2304,178.869
8192,896,2688,177.812
8192,1024,3072,215.467
8192,1152,3456,210.527
8192,1280,3840,215.323
8192,1408,4224,212.163
8192,1536,4608,214.272
8192,1664,4992,215.917
8192,1792,5376,237.711
8192,1920,5760,232.109
8192,2048,6144,229.228
8192,2176,6528,229.177
8192,2304,6912,234.842
8192,2432,7296,227.036
8192,2560,7680,206.754
8192,2688,8064,239.726
8192,2816,8448,249.391
8192,2944,8832,212.256
8192,3072,9216,229.632
8192,3200,9600,243.638
8192,3328,9984,207.414
8192,3456,10368,208.228
8192,3584,10752,221.176
8192,3712,11136,203.124
8192,3840,11520,140.493
8192,3968,11904,234.857
8192,4096,12288,150.239
8192,4224,12672,148.832
8192,4352,13056,220.952
8192,4480,13440,145.298
8192,4608,13824,145.124
8192,4736,14208,216.278
8192,4864,14592,154.776
8192,4992,14976,153.175
8192,5120,15360,175.297
8192,5248,15744,173.807
8192,5376,16128,170.506
8192,5504,16512,192.957
8192,5632,16896,246.193
8192,5760,17280,146.762
8192,5888,17664,165.0
8192,6016,18048,217.559
8192,6144,18432,149.757
8192,6272,18816,165.577
8192,6400,19200,145.654
8192,6528,19584,144.748
8192,6656,19968,164.827
8192,6784,20352,160.794
8192,6912,20736,161.117
8192,7040,21120,165.335
8192,7168,21504,146.66
8192,7296,21888,214.16
8192,7424,22272,215.1
8192,7552,22656,146.94
8192,7680,23040,149.743
8192,7808,23424,147.371
8192,7936,23808,148.382
8192,8064,24192,163.959
8192,8192,24576,151.114
8192,8320,24960,164.362
8192,8448,25344,148.305
8192,8576,25728,147.457
8192,8704,26112,160.471
8192,8832,26496,147.278
8192,8960,26880,161.327
8192,9088,27264,147.22
8192,9216,27648,187.426
8192,9344,28032,184.473
8192,9472,28416,147.382
8192,9600,28800,164.137
8192,9728,29184,147.646
8192,9856,29568,165.959
8192,9984,29952,151.252
8192,10112,30336,193.183
8192,10240,30720,140.074
8192,10368,31104,146.964
