m,n,k,throughput
8192,128,384,20.092
8192,256,768,67.673
8192,384,1152,124.276
8192,512,1536,135.917
8192,640,1920,153.544
8192,768,2304,170.857
8192,896,2688,185.642
8192,1024,3072,204.069
8192,1152,3456,206.79
8192,1280,3840,218.075
8192,1408,4224,212.681
8192,1536,4608,219.762
8192,1664,4992,219.795
8192,1792,5376,235.807
8192,1920,5760,228.965
8192,2048,6144,239.942
8192,2176,6528,237.852
8192,2304,6912,236.734
8192,2432,7296,231.624
8192,2560,7680,235.552
8192,2688,8064,242.053
8192,2816,8448,245.731
8192,2944,8832,249.104
8192,3072,9216,246.397
8192,3200,9600,235.195
8192,3328,9984,249.453
8192,3456,10368,240.752
8192,3584,10752,229.886
8192,3712,11136,249.324
8192,3840,11520,231.386
8192,3968,11904,229.192
8192,4096,12288,242.374
8192,4224,12672,239.758
8192,4352,13056,218.148
8192,4480,13440,221.773
8192,4608,13824,219.061
8192,4736,14208,201.065
8192,4864,14592,218.419
8192,4992,14976,200.344
8192,5120,15360,153.699
8192,5248,15744,168.736
8192,5376,16128,163.824
8192,5504,16512,166.177
8192,5632,16896,166.757
8192,5760,17280,160.93
8192,5888,17664,165.132
8192,6016,18048,165.686
8192,6144,18432,168.232
8192,6272,18816,167.386
8192,6400,19200,162.249
8192,6528,19584,161.3
8192,6656,19968,162.88
8192,6784,20352,163.948
8192,6912,20736,161.773
8192,7040,21120,162.578
8192,7168,21504,161.986
8192,7296,21888,162.874
8192,7424,22272,164.561
8192,7552,22656,162.86
8192,7680,23040,147.143
8192,7808,23424,163.005
8192,7936,23808,164.91
8192,8064,24192,161.885
8192,8192,24576,162.555
8192,8320,24960,160.735
8192,8448,25344,164.684
8192,8576,25728,163.25
8192,8704,26112,147.379
8192,8832,26496,162.763
8192,8960,26880,157.468
8192,9088,27264,162.421
8192,9216,27648,160.634
8192,9344,28032,163.952
8192,9472,28416,162.316
8192,9600,28800,161.087
8192,9728,29184,162.862
8192,9856,29568,162.031
8192,9984,29952,162.223
8192,10112,30336,162.193
8192,10240,30720,153.262
8192,10368,31104,160.69
8192,10496,31488,164.072
8192,10624,31872,161.032
8192,10752,32256,158.574
8192,10880,32640,159.863
8192,11008,33024,162.697
8192,11136,33408,161.318
8192,11264,33792,161.653
8192,11392,34176,162.295
8192,11520,34560,156.857
8192,11648,34944,161.759
8192,11776,35328,162.359
8192,11904,35712,162.136
8192,12032,36096,161.635
8192,12160,36480,161.844
8192,12288,36864,162.023
8192,12416,37248,161.732
8192,12544,37632,162.426
8192,12672,38016,161.321
8192,12800,38400,157.565
8192,12928,38784,162.697
8192,13056,39168,156.769
8192,13184,39552,162.999
8192,13312,39936,162.073
8192,13440,40320,158.606
8192,13568,40704,162.794
8192,13696,41088,162.338
8192,13824,41472,160.858
8192,13952,41856,162.05
8192,14080,42240,159.908
8192,14208,42624,162.793
8192,14336,43008,161.232
8192,14464,43392,162.141
8192,14592,43776,163.163
8192,14720,44160,162.506
8192,14848,44544,163.254
8192,14976,44928,161.336
8192,15104,45312,161.802
8192,15232,45696,158.912
8192,15360,46080,148.213
8192,15488,46464,161.172
8192,15616,46848,162.9
8192,15744,47232,162.842
8192,15872,47616,161.64
8192,16000,48000,162.329
8192,16128,48384,159.709
8192,16256,48768,161.947
8192,16384,49152,163.615
8192,16512,49536,162.096
8192,16640,49920,158.679
8192,16768,50304,162.149
8192,16896,50688,162.514
8192,17024,51072,163.377
8192,17152,51456,162.432
8192,17280,51840,159.5
8192,17408,52224,145.255
8192,17536,52608,160.146
8192,17664,52992,163.385
8192,17792,53376,163.072
8192,17920,53760,150.888
8192,18048,54144,162.086
8192,18176,54528,162.96
8192,18304,54912,162.753
8192,18432,55296,160.041
8192,18560,55680,161.962
8192,18688,56064,162.427
8192,18816,56448,162.433
8192,18944,56832,163.225
8192,19072,57216,162.694
8192,19200,57600,156.967
8192,19328,57984,162.666
8192,19456,58368,162.428
8192,19584,58752,158.893
8192,19712,59136,161.909
8192,19840,59520,161.667
8192,19968,59904,162.067
8192,20096,60288,161.598
8192,20224,60672,162.078
8192,20352,61056,162.14
8192,20480,61440,151.79
8192,20608,61824,162.416
8192,20736,62208,160.886
8192,20864,62592,161.46
8192,20992,62976,162.685
8192,21120,63360,158.979
8192,21248,63744,162.466
8192,21376,64128,162.653
8192,21504,64512,159.396
8192,21632,64896,161.464
8192,21760,65280,155.264
8192,21888,65664,162.205
8192,22016,66048,162.747
8192,22144,66432,162.248
8192,22272,66816,162.078
8192,22400,67200,161.816
8192,22528,67584,162.925
8192,22656,67968,162.233
8192,22784,68352,162.0
8192,22912,68736,160.728
8192,23040,69120,148.144
8192,23168,69504,162.063
8192,23296,69888,162.946
8192,23424,70272,162.154
8192,23552,70656,161.474
8192,23680,71040,161.587
8192,23808,71424,162.014
8192,23936,71808,158.047
8192,24064,72192,161.411
8192,24192,72576,160.408
8192,24320,72960,159.718
8192,24448,73344,162.293
8192,24576,73728,161.497
8192,24704,74112,161.687
8192,24832,74496,162.246
8192,24960,74880,158.791
8192,25088,75264,161.634
8192,25216,75648,161.355
8192,25344,76032,161.726
8192,25472,76416,161.989
8192,25600,76800,155.137
8192,25728,77184,161.931
8192,25856,77568,161.985
8192,25984,77952,162.354
8192,26112,78336,148.78
8192,26240,78720,160.427
8192,26368,79104,161.939
8192,26496,79488,159.531
8192,26624,79872,159.297
8192,26752,80256,161.635
8192,26880,80640,155.236
8192,27008,81024,157.45
8192,27136,81408,157.568
8192,27264,81792,161.211
8192,27392,82176,156.125
8192,27520,82560,157.751
8192,27648,82944,157.09
8192,27776,83328,155.66
8192,27904,83712,161.763
8192,28032,84096,161.645
8192,28160,84480,156.547
8192,28288,84864,159.287
8192,28416,85248,158.548
8192,28544,85632,160.782
8192,28672,86016,155.162
8192,28800,86400,157.734
8192,28928,86784,162.016
8192,29056,87168,156.311
8192,29184,87552,160.71
8192,29312,87936,153.52
8192,29440,88320,156.775
8192,29568,88704,154.459
8192,29696,89088,152.635
8192,29824,89472,155.936
8192,29952,89856,159.301
8192,30080,90240,155.153
8192,30208,90624,155.602
8192,30336,91008,160.178
8192,30464,91392,154.011
8192,30592,91776,154.587
8192,30720,92160,143.656
8192,30848,92544,155.635
8192,30976,92928,161.105
8192,31104,93312,154.238
8192,31232,93696,154.805
8192,31360,94080,153.531
8192,31488,94464,154.411
8192,31616,94848,156.222
8192,31744,95232,154.734
8192,31872,95616,160.714
8192,32000,96000,155.829
8192,32128,96384,152.48
8192,32256,96768,155.079
8192,32384,97152,161.067
8192,32512,97536,154.847
8192,32640,97920,152.301
8192,32768,98304,156.417
