num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_key_value_query_transform,attention_key_query_prob,attention_prob_times_values,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
48,48,4,2048,51200,256,1,1,1,2.666,1.01,0.95,0.816,3.383,0.0,33.786,0.0046,0.738,0.0,6.765,0.0047,0.784
48,96,4,2048,51200,256,1,1,1,10.663,2.372,1.907,3.288,20.972,0.0001,71.443,0.0043,1.653,0.0,41.943,0.0044,1.876
48,144,4,2048,51200,256,1,1,1,22.43,2.934,2.805,7.347,41.331,0.0,95.488,0.0047,2.332,0.0,82.661,0.0048,2.844
48,192,4,2048,51200,256,1,1,1,38.717,4.647,3.786,13.062,51.534,0.0,125.484,0.0045,3.427,0.0,103.068,0.0046,4.39
48,240,4,2048,51200,256,1,1,1,54.613,4.823,4.621,16.384,70.427,0.0,152.372,0.0048,4.105,0.0001,140.853,0.005,5.508
48,288,4,2048,51200,256,1,1,1,99.923,6.813,5.548,22.44,72.516,0.0001,141.17,0.005,4.979,0.0001,145.032,0.0052,6.919
48,336,4,2048,51200,256,1,1,1,86.704,6.745,6.42,46.709,91.659,0.0,154.148,0.0054,5.588,0.0001,183.319,0.0055,8.092
48,384,4,2048,51200,256,1,1,1,98.69,9.027,7.482,72.769,115.263,0.0,165.783,0.0052,6.815,0.0001,230.527,0.0054,10.194
48,432,4,2048,51200,256,1,1,1,97.336,8.578,8.152,77.527,128.365,0.0,179.315,0.0056,7.331,0.0001,256.729,0.0058,11.308
48,480,4,2048,51200,256,1,1,1,122.561,11.065,9.26,78.643,131.072,0.0,200.03,0.0053,8.846,0.0001,262.144,0.0056,13.94
48,528,4,2048,51200,256,1,1,1,124.209,10.458,9.901,68.214,121.738,0.0001,124.816,0.0072,7.449,0.0002,243.475,0.0075,12.029
48,576,4,2048,51200,256,1,1,1,141.952,13.166,11.072,80.698,135.828,0.0001,140.785,0.0068,8.846,0.0002,271.655,0.0071,14.564
48,624,4,2048,51200,256,1,1,1,126.712,12.288,11.638,83.327,144.858,0.0001,145.37,0.0073,9.192,0.0002,289.716,0.0077,15.474
48,672,4,2048,51200,256,1,1,1,164.173,14.889,12.851,99.875,151.8,0.0001,158.18,0.007,10.607,0.0002,303.601,0.0074,18.131
48,720,4,2048,51200,256,1,1,1,140.311,13.929,13.371,99.502,150.7,0.0001,167.222,0.0074,11.091,0.0002,301.4,0.0078,19.183
48,768,4,2048,51200,256,1,1,1,156.404,16.656,14.769,118.894,172.689,0.0001,178.497,0.0072,12.583,0.0002,345.378,0.0075,22.231
48,816,4,2048,51200,256,1,1,1,153.05,14.901,11.199,114.498,163.755,0.0001,169.323,0.0086,11.396,0.0003,327.511,0.0091,20.516
48,864,4,2048,51200,256,1,1,1,163.278,18.409,12.912,125.622,182.383,0.0001,183.094,0.0081,13.197,0.0003,364.766,0.0085,24.039
48,912,4,2048,51200,256,1,1,1,149.248,18.896,12.395,131.843,174.441,0.0001,186.737,0.0086,13.514,0.0003,348.881,0.009,24.863
48,960,4,2048,51200,256,1,1,1,181.02,19.352,14.145,140.959,197.173,0.0001,193.706,0.0085,14.76,0.0003,394.346,0.0089,27.543
48,1008,4,2048,51200,256,1,1,1,170.379,20.73,13.762,143.017,168.87,0.0001,192.403,0.0089,15.093,0.0004,337.74,0.0094,28.329
48,1056,4,2048,51200,256,1,1,1,183.487,22.221,15.673,157.286,176.423,0.0001,166.423,0.0096,15.006,0.0004,352.846,0.0103,28.258
48,1104,4,2048,51200,256,1,1,1,153.168,22.644,14.942,134.781,172.355,0.0001,152.996,0.0107,14.379,0.0005,344.711,0.0114,27.468
48,1152,4,2048,51200,256,1,1,1,186.031,23.01,16.846,146.046,169.604,0.0001,159.101,0.0105,15.575,0.0005,339.209,0.0113,29.932
48,1200,4,2048,51200,256,1,1,1,181.261,24.446,15.214,145.996,182.213,0.0001,159.744,0.0111,15.69,0.0005,364.426,0.0119,30.518
48,1248,4,2048,51200,256,1,1,1,202.782,26.111,18.414,171.217,198.492,0.0001,165.924,0.0107,17.344,0.0005,396.984,0.0115,33.971
48,1296,4,2048,51200,256,1,1,1,165.007,26.37,16.407,147.507,186.215,0.0001,173.367,0.0113,17.504,0.0006,372.43,0.0121,34.479
48,1344,4,2048,51200,256,1,1,1,170.269,26.01,19.485,160.912,207.48,0.0001,191.894,0.0106,19.623,0.0006,414.961,0.0115,38.883
48,1392,4,2048,51200,256,1,1,1,189.028,28.09,17.565,158.038,186.657,0.0001,174.575,0.0117,18.813,0.0007,373.315,0.0127,37.497
48,1440,4,2048,51200,256,1,1,1,215.862,29.763,21.103,173.407,208.352,0.0001,185.973,0.0111,20.993,0.0007,416.704,0.012,42.081
48,1488,4,2048,51200,256,1,1,1,183.834,29.82,18.733,168.948,191.473,0.0001,198.305,0.0114,21.411,0.0008,382.947,0.0125,42.973
48,1536,4,2048,51200,256,1,1,1,203.703,32.6,22.423,184.492,209.692,0.0001,177.903,0.0119,21.654,0.0007,419.385,0.0129,43.994
48,1584,4,2048,51200,256,1,1,1,196.403,29.97,21.548,161.387,193.36,0.0001,194.65,0.0119,22.657,0.0009,386.72,0.0131,45.926
48,1632,4,2048,51200,256,1,1,1,203.382,31.483,24.503,188.223,211.463,0.0001,171.011,0.0129,22.098,0.0008,422.926,0.0139,45.419
48,1680,4,2048,51200,256,1,1,1,190.057,31.658,22.578,173.166,195.0,0.0001,186.016,0.0129,23.167,0.0009,389.999,0.0141,47.459
48,1728,4,2048,51200,256,1,1,1,206.087,36.375,24.858,176.641,198.855,0.0001,196.148,0.0123,25.326,0.001,397.71,0.0135,51.89
48,1776,4,2048,51200,256,1,1,1,198.599,33.233,23.982,179.139,206.778,0.0001,180.351,0.0136,23.949,0.001,413.556,0.0149,49.713
48,1824,4,2048,51200,256,1,1,1,209.479,36.082,27.386,179.071,207.622,0.0001,169.041,0.0141,24.201,0.0011,415.245,0.0154,50.473
48,1872,4,2048,51200,256,1,1,1,184.356,34.782,25.138,165.178,199.153,0.0001,186.184,0.014,25.34,0.0012,398.306,0.0154,52.751
48,1920,4,2048,51200,256,1,1,1,194.431,39.255,27.638,184.545,214.147,0.0001,171.526,0.0146,25.336,0.0011,428.294,0.016,53.321
48,1968,4,2048,51200,256,1,1,1,195.449,36.456,25.696,176.698,193.38,0.0001,170.255,0.0154,25.04,0.0013,386.759,0.017,52.588
48,2016,4,2048,51200,256,1,1,1,195.635,39.598,30.115,194.477,221.963,0.0001,183.707,0.0145,27.654,0.0012,443.925,0.016,58.425
48,2064,4,2048,51200,256,1,1,1,199.406,38.021,26.651,163.139,204.17,0.0002,180.72,0.0155,26.986,0.0014,408.339,0.0173,56.34
48,2112,4,2048,51200,256,1,1,1,220.302,42.57,30.465,187.581,221.661,0.0002,185.222,0.0149,29.052,0.0013,443.322,0.0167,60.831
48,2160,4,2048,51200,256,1,1,1,186.091,39.683,28.084,172.134,205.266,0.0002,170.185,0.0167,26.94,0.0015,410.533,0.0187,56.785
48,2208,4,2048,51200,256,1,1,1,217.655,43.32,32.796,194.934,221.374,0.0002,173.18,0.0162,28.913,0.0014,442.749,0.0181,61.11
48,2256,4,2048,51200,256,1,1,1,199.86,41.673,28.977,158.579,181.544,0.0002,178.073,0.0168,28.808,0.0018,363.089,0.0192,60.101
48,2304,4,2048,51200,256,1,1,1,203.006,44.926,33.415,174.058,204.855,0.0002,188.623,0.0161,31.278,0.0017,409.709,0.0182,65.691
48,2352,4,2048,51200,256,1,1,1,204.194,36.568,28.895,175.322,190.018,0.0002,155.015,0.0195,26.733,0.0019,380.036,0.0219,56.953
48,2400,4,2048,51200,256,1,1,1,218.197,44.684,35.033,202.654,225.091,0.0002,164.374,0.0181,29.734,0.0017,450.183,0.0203,63.784
48,2448,4,2048,51200,256,1,1,1,173.938,37.906,29.898,187.232,187.575,0.0002,166.975,0.0194,28.667,0.0021,375.151,0.022,60.97
48,2496,4,2048,51200,256,1,1,1,204.45,47.461,35.74,209.405,221.887,0.0002,200.442,0.0165,34.814,0.0018,443.775,0.0189,73.764
48,2544,4,2048,51200,256,1,1,1,202.793,38.825,30.853,187.449,188.777,0.0002,170.715,0.0196,30.35,0.0022,377.555,0.0223,64.622
48,2592,4,2048,51200,256,1,1,1,220.315,48.162,38.612,198.006,219.387,0.0003,161.379,0.0196,31.361,0.002,438.774,0.0221,67.655
48,2640,4,2048,51200,256,1,1,1,194.633,39.549,32.124,187.025,189.282,0.0003,168.262,0.0205,30.879,0.0024,378.564,0.0234,65.998
48,2688,4,2048,51200,256,1,1,1,214.074,50.115,39.041,200.101,219.385,0.0002,167.38,0.0198,32.972,0.0022,438.77,0.0225,71.231
48,2736,4,2048,51200,256,1,1,1,188.562,40.275,31.998,192.428,185.866,0.0002,163.207,0.0218,30.927,0.0026,371.732,0.0249,66.412
48,2784,4,2048,51200,256,1,1,1,223.831,51.19,40.352,209.632,218.996,0.0003,200.296,0.0181,38.37,0.0023,437.991,0.0209,81.738
48,2832,4,2048,51200,256,1,1,1,182.174,41.999,32.929,180.757,192.172,0.0003,147.75,0.0241,29.673,0.0027,384.344,0.0274,64.577
48,2880,4,2048,51200,256,1,1,1,205.313,53.125,41.114,201.195,207.151,0.0003,144.61,0.0235,31.306,0.0026,414.303,0.0267,68.403
48,2928,4,2048,51200,256,1,1,1,195.864,43.502,33.842,187.524,184.684,0.0003,174.769,0.0221,34.29,0.003,369.367,0.0257,73.335
48,2976,4,2048,51200,256,1,1,1,232.006,54.235,43.011,211.377,223.124,0.0003,146.353,0.0238,32.802,0.0026,446.247,0.0269,72.186
48,3024,4,2048,51200,256,1,1,1,179.997,44.61,34.835,195.105,188.682,0.0003,167.147,0.0236,33.951,0.0032,377.364,0.0273,73.259
48,3072,4,2048,51200,256,1,1,1,219.629,60.249,44.872,216.165,211.049,0.0002,170.309,0.022,37.54,0.0029,422.098,0.0254,81.205
48,3120,4,2048,51200,256,1,1,1,172.651,43.051,42.021,192.675,179.884,0.0003,144.712,0.0266,31.845,0.0035,359.767,0.0307,69.236
