m,n,k,throughput
64,2048,64,0.403
72,2048,72,0.617
80,2048,80,0.627
88,2048,88,0.764
96,2048,96,0.889
104,2048,104,1.094
112,2048,112,1.25
120,2048,120,1.407
128,2048,128,1.559
136,2048,136,1.77
144,2048,144,1.876
152,2048,152,2.057
160,2048,160,2.427
168,2048,168,2.642
176,2048,176,3.11
184,2048,184,3.359
192,2048,192,3.413
200,2048,200,4.129
208,2048,208,4.421
216,2048,216,4.482
224,2048,224,4.555
232,2048,232,5.18
240,2048,240,5.65
248,2048,248,5.564
256,2048,256,6.307
264,2048,264,5.611
272,2048,272,7.327
280,2048,280,7.84
288,2048,288,7.85
296,2048,296,8.883
304,2048,304,9.188
312,2048,312,9.734
320,2048,320,10.121
328,2048,328,10.843
336,2048,336,10.626
344,2048,344,10.878
352,2048,352,12.13
360,2048,360,12.311
368,2048,368,12.164
376,2048,376,12.523
384,2048,384,13.245
392,2048,392,15.549
400,2048,400,14.868
408,2048,408,15.581
416,2048,416,15.907
424,2048,424,16.951
432,2048,432,16.942
440,2048,440,17.39
448,2048,448,19.389
456,2048,456,18.106
464,2048,464,19.038
472,2048,472,18.699
480,2048,480,21.927
488,2048,488,21.022
496,2048,496,23.154
504,2048,504,22.043
512,2048,512,24.994
520,2048,520,23.625
528,2048,528,25.042
536,2048,536,24.075
544,2048,544,28.216
552,2048,552,25.702
560,2048,560,28.775
568,2048,568,22.202
576,2048,576,31.457
584,2048,584,27.456
592,2048,592,31.759
600,2048,600,23.011
608,2048,608,59.895
616,2048,616,32.543
624,2048,624,35.856
632,2048,632,32.721
640,2048,640,63.55
648,2048,648,33.964
656,2048,656,35.029
664,2048,664,34.676
672,2048,672,38.535
680,2048,680,37.819
688,2048,688,39.279
696,2048,696,33.883
704,2048,704,41.127
712,2048,712,39.932
720,2048,720,41.279
728,2048,728,42.07
736,2048,736,45.024
744,2048,744,44.076
752,2048,752,47.156
760,2048,760,45.567
768,2048,768,50.416
776,2048,776,46.293
784,2048,784,53.159
792,2048,792,47.229
800,2048,800,55.351
808,2048,808,46.882
816,2048,816,54.373
824,2048,824,52.119
832,2048,832,56.707
840,2048,840,69.608
848,2048,848,48.96
856,2048,856,54.688
