m,n,k,throughput
2048,64,2048,27.962
2048,128,2048,47.427
2048,192,2048,40.92
2048,256,2048,56.158
2048,320,2048,69.76
2048,384,2048,77.883
2048,448,2048,87.479
2048,512,2048,95.699
2048,576,2048,99.339
2048,640,2048,103.884
2048,704,2048,112.018
2048,768,2048,118.427
2048,832,2048,122.358
2048,896,2048,132.141
2048,960,2048,130.732
2048,1024,2048,135.062
2048,1088,2048,162.514
2048,1152,2048,142.785
2048,1216,2048,148.092
2048,1280,2048,152.868
2048,1344,2048,156.414
2048,1408,2048,157.735
2048,1472,2048,161.963
2048,1536,2048,161.546
2048,1600,2048,193.286
2048,1664,2048,183.666
2048,1728,2048,167.307
2048,1792,2048,174.309
2048,1856,2048,163.268
2048,1920,2048,169.324
2048,1984,2048,187.59
2048,2048,2048,178.659
2048,2112,2048,192.909
2048,2176,2048,197.721
2048,2240,2048,212.947
2048,2304,2048,183.024
2048,2368,2048,187.54
2048,2432,2048,212.689
2048,2496,2048,189.655
2048,2560,2048,188.244
2048,2624,2048,216.48
2048,2688,2048,193.983
2048,2752,2048,220.618
2048,2816,2048,195.679
2048,2880,2048,196.352
2048,2944,2048,218.782
2048,3008,2048,200.134
2048,3072,2048,218.982
2048,3136,2048,203.612
2048,3200,2048,218.738
2048,3264,2048,203.36
2048,3328,2048,203.479
2048,3392,2048,225.397
2048,3456,2048,206.254
2048,3520,2048,207.943
2048,3584,2048,225.983
2048,3648,2048,222.396
2048,3712,2048,208.815
2048,3776,2048,224.457
2048,3840,2048,204.289
2048,3904,2048,212.989
2048,3968,2048,212.175
2048,4032,2048,228.163
2048,4096,2048,223.115
2048,4160,2048,219.863
2048,4224,2048,214.177
2048,4288,2048,228.354
2048,4352,2048,214.849
2048,4416,2048,215.473
2048,4480,2048,215.29
2048,4544,2048,216.579
2048,4608,2048,217.454
2048,4672,2048,233.061
2048,4736,2048,223.898
2048,4800,2048,233.449
2048,4864,2048,221.078
2048,4928,2048,222.828
2048,4992,2048,229.281
2048,5056,2048,221.546
2048,5120,2048,237.975
2048,5184,2048,221.058
2048,5248,2048,234.967
2048,5312,2048,228.655
2048,5376,2048,235.667
2048,5440,2048,219.648
2048,5504,2048,233.753
2048,5568,2048,235.612
2048,5632,2048,236.223
2048,5696,2048,233.217
2048,5760,2048,232.121
2048,5824,2048,236.153
2048,5888,2048,224.837
2048,5952,2048,239.307
2048,6016,2048,236.618
2048,6080,2048,239.855
2048,6144,2048,231.493
2048,6208,2048,237.575
2048,6272,2048,232.063
2048,6336,2048,233.361
2048,6400,2048,224.07
2048,6464,2048,236.745
2048,6528,2048,239.339
2048,6592,2048,233.284
2048,6656,2048,242.169
2048,6720,2048,225.414
2048,6784,2048,227.342
2048,6848,2048,230.002
2048,6912,2048,229.577
2048,6976,2048,231.483
2048,7040,2048,220.029
2048,7104,2048,239.675
2048,7168,2048,228.04
2048,7232,2048,235.433
2048,7296,2048,229.466
2048,7360,2048,220.249
2048,7424,2048,221.658
2048,7488,2048,222.492
2048,7552,2048,218.813
2048,7616,2048,223.822
2048,7680,2048,206.436
2048,7744,2048,216.077
2048,7808,2048,227.994
2048,7872,2048,220.588
2048,7936,2048,231.539
2048,8000,2048,225.198
2048,8064,2048,230.841
2048,8128,2048,241.098
2048,8192,2048,238.609
2048,8256,2048,231.658
2048,8320,2048,231.84
2048,8384,2048,251.538
2048,8448,2048,235.032
2048,8512,2048,219.569
2048,8576,2048,220.191
2048,8640,2048,221.997
2048,8704,2048,202.01
2048,8768,2048,221.594
2048,8832,2048,225.603
2048,8896,2048,221.94
2048,8960,2048,220.701
2048,9024,2048,223.485
2048,9088,2048,222.755
2048,9152,2048,226.227
2048,9216,2048,223.231
2048,9280,2048,223.748
2048,9344,2048,224.106
2048,9408,2048,223.595
2048,9472,2048,223.294
2048,9536,2048,224.298
2048,9600,2048,227.282
2048,9664,2048,225.991
2048,9728,2048,231.62
2048,9792,2048,225.267
2048,9856,2048,236.331
2048,9920,2048,226.917
2048,9984,2048,226.21
2048,10048,2048,229.945
2048,10112,2048,237.314
2048,10176,2048,226.835
2048,10240,2048,226.48
2048,10304,2048,226.938
2048,10368,2048,229.021
2048,10432,2048,227.653
2048,10496,2048,242.206
2048,10560,2048,227.839
2048,10624,2048,228.514
2048,10688,2048,228.905
2048,10752,2048,230.088
2048,10816,2048,228.749
2048,10880,2048,228.399
2048,10944,2048,232.441
2048,11008,2048,230.762
2048,11072,2048,229.307
2048,11136,2048,229.952
2048,11200,2048,230.773
2048,11264,2048,230.237
2048,11328,2048,237.423
2048,11392,2048,231.859
2048,11456,2048,230.257
2048,11520,2048,226.804
2048,11584,2048,234.946
2048,11648,2048,222.352
2048,11712,2048,231.105
2048,11776,2048,230.202
2048,11840,2048,234.071
2048,11904,2048,232.271
2048,11968,2048,240.409
2048,12032,2048,238.677
2048,12096,2048,235.186
2048,12160,2048,233.401
2048,12224,2048,233.475
2048,12288,2048,235.685
2048,12352,2048,232.615
2048,12416,2048,232.942
2048,12480,2048,233.1
2048,12544,2048,232.72
2048,12608,2048,239.501
2048,12672,2048,233.648
2048,12736,2048,241.19
2048,12800,2048,233.992
2048,12864,2048,235.902
2048,12928,2048,234.533
2048,12992,2048,232.873
2048,13056,2048,242.39
2048,13120,2048,235.329
2048,13184,2048,236.72
2048,13248,2048,236.814
2048,13312,2048,236.067
2048,13376,2048,236.044
2048,13440,2048,232.824
2048,13504,2048,235.842
2048,13568,2048,236.409
2048,13632,2048,242.686
2048,13696,2048,239.635
2048,13760,2048,237.505
2048,13824,2048,236.199
2048,13888,2048,248.086
2048,13952,2048,236.65
2048,14016,2048,237.89
2048,14080,2048,238.938
2048,14144,2048,237.715
2048,14208,2048,236.93
2048,14272,2048,235.934
2048,14336,2048,238.913
2048,14400,2048,238.916
2048,14464,2048,239.032
2048,14528,2048,248.349
2048,14592,2048,242.408
2048,14656,2048,239.45
2048,14720,2048,239.489
2048,14784,2048,238.531
2048,14848,2048,245.572
2048,14912,2048,238.723
2048,14976,2048,240.445
2048,15040,2048,241.362
2048,15104,2048,238.663
2048,15168,2048,238.99
2048,15232,2048,240.215
2048,15296,2048,240.826
2048,15360,2048,234.783
2048,15424,2048,241.572
2048,15488,2048,240.242
2048,15552,2048,243.286
2048,15616,2048,241.762
2048,15680,2048,240.446
2048,15744,2048,245.74
2048,15808,2048,248.775
2048,15872,2048,242.327
2048,15936,2048,240.295
2048,16000,2048,240.741
2048,16064,2048,241.738
2048,16128,2048,244.703
2048,16192,2048,241.584
2048,16256,2048,241.371
2048,16320,2048,246.653
2048,16384,2048,240.918
2048,16448,2048,248.087
2048,16512,2048,248.944
2048,16576,2048,242.145
2048,16640,2048,239.675
2048,16704,2048,243.473
2048,16768,2048,251.179
2048,16832,2048,242.64
2048,16896,2048,242.961
2048,16960,2048,242.254
2048,17024,2048,243.002
2048,17088,2048,243.32
2048,17152,2048,243.01
2048,17216,2048,244.445
2048,17280,2048,249.372
2048,17344,2048,231.734
2048,17408,2048,218.475
2048,17472,2048,243.854
2048,17536,2048,244.0
2048,17600,2048,241.02
2048,17664,2048,252.792
2048,17728,2048,244.048
2048,17792,2048,244.512
