b,m,n,k,throughput
256,2048,64,2048,60.595
256,2048,128,2048,92.619
256,2048,192,2048,114.611
256,2048,256,2048,134.239
256,2048,320,2048,151.239
256,2048,384,2048,160.53
256,2048,448,2048,151.727
256,2048,512,2048,177.235
256,2048,576,2048,146.0
256,2048,640,2048,165.53
256,2048,704,2048,188.92
256,2048,768,2048,137.13
256,2048,832,2048,165.906
256,2048,896,2048,188.495
256,2048,960,2048,139.309
256,2048,1024,2048,175.325
256,2048,1088,2048,163.111
256,2048,1152,2048,163.41
256,2048,1216,2048,167.479
256,2048,1280,2048,169.333
256,2048,1344,2048,157.972
256,2048,1408,2048,164.291
256,2048,1472,2048,181.716
256,2048,1536,2048,151.899
256,2048,1600,2048,167.3
256,2048,1664,2048,181.823
256,2048,1728,2048,148.64
256,2048,1792,2048,166.993
256,2048,1856,2048,169.804
256,2048,1920,2048,165.995
256,2048,1984,2048,172.62
256,2048,2048,2048,172.234
256,2048,2112,2048,156.588
256,2048,2176,2048,176.945
256,2048,2240,2048,167.768
256,2048,2304,2048,143.99
256,2048,2368,2048,174.148
256,2048,2432,2048,165.872
256,2048,2496,2048,153.296
256,2048,2560,2048,169.01
256,2048,2624,2048,148.174
256,2048,2688,2048,164.292
256,2048,2752,2048,148.059
256,2048,2816,2048,167.688
256,2048,2880,2048,146.702
256,2048,2944,2048,169.514
256,2048,3008,2048,152.589
256,2048,3072,2048,148.465
256,2048,3136,2048,148.569
256,2048,3200,2048,149.304
256,2048,3264,2048,148.867
256,2048,3328,2048,149.309
256,2048,3392,2048,150.185
256,2048,3456,2048,147.936
256,2048,3520,2048,149.223
256,2048,3584,2048,148.071
256,2048,3648,2048,150.222
256,2048,3712,2048,150.343
256,2048,3776,2048,149.936
256,2048,3840,2048,149.721
256,2048,3904,2048,149.941
256,2048,3968,2048,150.828
