m,n,k,throughput
32768,64,2048,85.218
32768,128,2048,123.065
32768,192,2048,144.45
32768,256,2048,161.708
32768,320,2048,181.682
32768,384,2048,192.083
32768,448,2048,185.814
32768,512,2048,189.707
32768,576,2048,204.09
32768,640,2048,202.631
32768,704,2048,200.223
32768,768,2048,204.069
32768,832,2048,194.491
32768,896,2048,215.889
32768,960,2048,197.548
32768,1024,2048,222.595
32768,1088,2048,222.253
32768,1152,2048,201.768
32768,1216,2048,219.697
32768,1280,2048,222.814
32768,1344,2048,193.434
32768,1408,2048,226.137
32768,1472,2048,228.456
32768,1536,2048,230.705
32768,1600,2048,230.298
32768,1664,2048,214.122
32768,1728,2048,198.406
32768,1792,2048,216.029
32768,1856,2048,229.567
32768,1920,2048,236.559
32768,1984,2048,238.182
32768,2048,2048,237.127
32768,2112,2048,231.773
32768,2176,2048,230.839
32768,2240,2048,232.555
32768,2304,2048,218.97
32768,2368,2048,235.4
32768,2432,2048,230.729
32768,2496,2048,237.675
32768,2560,2048,234.621
32768,2624,2048,238.829
32768,2688,2048,226.858
32768,2752,2048,232.447
32768,2816,2048,247.445
32768,2880,2048,224.852
32768,2944,2048,247.456
32768,3008,2048,248.002
32768,3072,2048,239.119
32768,3136,2048,239.86
32768,3200,2048,241.019
32768,3264,2048,233.124
32768,3328,2048,247.856
32768,3392,2048,251.184
32768,3456,2048,249.578
32768,3520,2048,240.632
32768,3584,2048,242.585
32768,3648,2048,248.269
32768,3712,2048,237.898
32768,3776,2048,246.329
32768,3840,2048,228.326
32768,3904,2048,243.271
32768,3968,2048,240.924
32768,4032,2048,227.213
32768,4096,2048,182.755
32768,4160,2048,190.442
32768,4224,2048,157.685
32768,4288,2048,146.914
32768,4352,2048,141.795
32768,4416,2048,149.921
32768,4480,2048,150.682
32768,4544,2048,249.006
32768,4608,2048,246.389
32768,4672,2048,250.866
32768,4736,2048,247.745
32768,4800,2048,242.73
32768,4864,2048,247.729
32768,4928,2048,232.87
32768,4992,2048,255.707
32768,5056,2048,241.38
32768,5120,2048,167.426
32768,5184,2048,170.884
32768,5248,2048,172.827
32768,5312,2048,172.47
32768,5376,2048,168.345
32768,5440,2048,170.318
32768,5504,2048,170.203
32768,5568,2048,238.908
32768,5632,2048,240.211
32768,5696,2048,236.156
32768,5760,2048,226.337
32768,5824,2048,220.625
32768,5888,2048,250.251
32768,5952,2048,239.227
32768,6016,2048,150.575
32768,6080,2048,149.768
32768,6144,2048,152.012
32768,6208,2048,149.291
32768,6272,2048,150.107
32768,6336,2048,153.551
32768,6400,2048,233.839
32768,6464,2048,232.422
32768,6528,2048,224.508
32768,6592,2048,241.159
32768,6656,2048,236.172
32768,6720,2048,233.693
32768,6784,2048,151.065
32768,6848,2048,149.985
32768,6912,2048,148.046
32768,6976,2048,149.784
32768,7040,2048,151.136
32768,7104,2048,242.306
32768,7168,2048,238.165
32768,7232,2048,222.372
32768,7296,2048,249.29
32768,7360,2048,244.394
32768,7424,2048,248.869
32768,7488,2048,152.455
32768,7552,2048,150.445
32768,7616,2048,148.714
32768,7680,2048,135.518
32768,7744,2048,236.917
32768,7808,2048,231.918
32768,7872,2048,207.729
32768,7936,2048,233.083
32768,8000,2048,207.729
32768,8064,2048,147.311
32768,8128,2048,148.35
32768,8192,2048,148.826
32768,8256,2048,148.136
32768,8320,2048,240.97
32768,8384,2048,217.199
32768,8448,2048,198.805
32768,8512,2048,205.372
32768,8576,2048,208.325
32768,8640,2048,150.96
32768,8704,2048,132.754
32768,8768,2048,142.869
32768,8832,2048,150.151
32768,8896,2048,243.245
32768,8960,2048,217.955
32768,9024,2048,203.196
32768,9088,2048,218.278
32768,9152,2048,226.943
32768,9216,2048,146.369
32768,9280,2048,149.714
32768,9344,2048,149.905
32768,9408,2048,149.851
32768,9472,2048,209.671
32768,9536,2048,201.427
32768,9600,2048,197.36
32768,9664,2048,195.216
32768,9728,2048,149.571
32768,9792,2048,147.996
32768,9856,2048,148.633
32768,9920,2048,148.507
32768,9984,2048,193.095
32768,10048,2048,191.404
32768,10112,2048,184.737
32768,10176,2048,218.21
32768,10240,2048,146.496
32768,10304,2048,148.087
32768,10368,2048,148.398
32768,10432,2048,241.978
32768,10496,2048,179.059
32768,10560,2048,166.705
32768,10624,2048,166.707
32768,10688,2048,149.056
32768,10752,2048,146.888
32768,10816,2048,150.167
32768,10880,2048,246.977
32768,10944,2048,166.496
32768,11008,2048,166.842
32768,11072,2048,168.567
32768,11136,2048,148.552
32768,11200,2048,148.524
32768,11264,2048,148.781
32768,11328,2048,237.515
32768,11392,2048,167.105
32768,11456,2048,168.614
32768,11520,2048,163.822
32768,11584,2048,148.18
32768,11648,2048,148.385
32768,11712,2048,147.145
32768,11776,2048,244.694
32768,11840,2048,167.179
32768,11904,2048,167.202
32768,11968,2048,218.992
32768,12032,2048,148.551
32768,12096,2048,148.442
32768,12160,2048,149.026
32768,12224,2048,167.135
32768,12288,2048,167.321
32768,12352,2048,167.324
32768,12416,2048,151.259
32768,12480,2048,151.573
32768,12544,2048,150.572
32768,12608,2048,200.029
32768,12672,2048,167.873
32768,12736,2048,170.89
32768,12800,2048,146.976
32768,12864,2048,155.327
32768,12928,2048,147.135
32768,12992,2048,242.871
32768,13056,2048,168.487
32768,13120,2048,167.536
32768,13184,2048,222.135
32768,13248,2048,147.668
32768,13312,2048,148.235
32768,13376,2048,233.395
32768,13440,2048,165.678
32768,13504,2048,168.845
32768,13568,2048,216.831
32768,13632,2048,149.624
32768,13696,2048,148.854
32768,13760,2048,237.488
32768,13824,2048,167.781
32768,13888,2048,167.506
32768,13952,2048,149.001
32768,14016,2048,148.476
32768,14080,2048,148.835
32768,14144,2048,167.57
32768,14208,2048,167.684
32768,14272,2048,167.585
32768,14336,2048,147.992
32768,14400,2048,148.473
32768,14464,2048,148.604
32768,14528,2048,168.249
32768,14592,2048,168.707
32768,14656,2048,207.706
32768,14720,2048,149.029
32768,14784,2048,147.439
32768,14848,2048,224.305
32768,14912,2048,168.674
32768,14976,2048,167.805
32768,15040,2048,148.181
32768,15104,2048,148.255
32768,15168,2048,243.232
32768,15232,2048,165.61
32768,15296,2048,167.841
32768,15360,2048,136.276
32768,15424,2048,147.84
32768,15488,2048,144.981
32768,15552,2048,167.32
32768,15616,2048,166.98
32768,15680,2048,202.869
32768,15744,2048,147.494
32768,15808,2048,148.818
32768,15872,2048,167.717
32768,15936,2048,171.502
32768,16000,2048,220.639
32768,16064,2048,148.756
32768,16128,2048,146.027
32768,16192,2048,169.002
32768,16256,2048,167.949
32768,16320,2048,210.989
32768,16384,2048,209.27
32768,16448,2048,149.199
32768,16512,2048,148.827
32768,16576,2048,166.735
32768,16640,2048,166.748
32768,16704,2048,205.126
32768,16768,2048,148.131
32768,16832,2048,147.64
32768,16896,2048,168.06
32768,16960,2048,168.045
32768,17024,2048,197.177
32768,17088,2048,147.886
32768,17152,2048,147.745
32768,17216,2048,166.302
32768,17280,2048,169.925
32768,17344,2048,207.959
32768,17408,2048,134.394
32768,17472,2048,148.157
32768,17536,2048,166.41
32768,17600,2048,167.385
32768,17664,2048,149.614
32768,17728,2048,150.04
32768,17792,2048,149.636
32768,17856,2048,167.883
32768,17920,2048,165.821
32768,17984,2048,147.863
32768,18048,2048,149.026
32768,18112,2048,215.713
32768,18176,2048,167.777
32768,18240,2048,169.102
32768,18304,2048,168.097
32768,18368,2048,168.069
32768,18432,2048,167.308
32768,18496,2048,168.075
32768,18560,2048,168.282
32768,18624,2048,167.984
32768,18688,2048,199.304
32768,18752,2048,167.735
32768,18816,2048,167.968
32768,18880,2048,179.614
32768,18944,2048,169.404
32768,19008,2048,168.076
32768,19072,2048,168.066
32768,19136,2048,168.538
32768,19200,2048,198.645
32768,19264,2048,166.889
32768,19328,2048,167.902
32768,19392,2048,180.29
32768,19456,2048,167.518
32768,19520,2048,166.91
32768,19584,2048,229.118
32768,19648,2048,169.484
32768,19712,2048,167.84
32768,19776,2048,234.905
32768,19840,2048,167.367
32768,19904,2048,167.225
32768,19968,2048,199.721
32768,20032,2048,167.324
32768,20096,2048,166.067
32768,20160,2048,235.01
32768,20224,2048,166.734
32768,20288,2048,167.845
32768,20352,2048,223.736
32768,20416,2048,166.566
32768,20480,2048,166.825
32768,20544,2048,198.96
32768,20608,2048,167.823
32768,20672,2048,233.417
32768,20736,2048,181.773
32768,20800,2048,170.375
32768,20864,2048,201.119
32768,20928,2048,167.389
32768,20992,2048,168.288
32768,21056,2048,203.338
32768,21120,2048,166.336
32768,21184,2048,165.588
32768,21248,2048,211.122
32768,21312,2048,167.308
32768,21376,2048,209.245
32768,21440,2048,212.262
32768,21504,2048,168.667
32768,21568,2048,201.784
32768,21632,2048,167.183
32768,21696,2048,166.305
32768,21760,2048,186.864
32768,21824,2048,166.519
32768,21888,2048,223.908
32768,21952,2048,169.383
32768,22016,2048,208.293
32768,22080,2048,178.751
32768,22144,2048,167.986
32768,22208,2048,204.621
32768,22272,2048,167.198
32768,22336,2048,200.687
32768,22400,2048,167.906
32768,22464,2048,203.81
32768,22528,2048,211.447
32768,22592,2048,168.497
32768,22656,2048,219.001
32768,22720,2048,166.332
32768,22784,2048,211.319
32768,22848,2048,235.758
32768,22912,2048,168.533
32768,22976,2048,186.798
32768,23040,2048,199.302
32768,23104,2048,166.798
32768,23168,2048,232.97
32768,23232,2048,165.934
32768,23296,2048,209.31
32768,23360,2048,168.32
32768,23424,2048,165.603
32768,23488,2048,196.105
32768,23552,2048,168.952
32768,23616,2048,204.589
32768,23680,2048,166.769
32768,23744,2048,203.527
32768,23808,2048,166.89
32768,23872,2048,232.909
32768,23936,2048,164.522
32768,24000,2048,195.396
32768,24064,2048,170.465
32768,24128,2048,200.504
32768,24192,2048,178.781
32768,24256,2048,164.801
32768,24320,2048,175.342
32768,24384,2048,164.832
32768,24448,2048,206.25
32768,24512,2048,167.81
32768,24576,2048,168.698
32768,24640,2048,164.962
32768,24704,2048,151.252
32768,24768,2048,167.875
32768,24832,2048,150.533
32768,24896,2048,164.507
