b,m,n,k,throughput
32,2048,64,2048,61.709
32,2048,128,2048,96.084
32,2048,192,2048,114.777
32,2048,256,2048,133.592
32,2048,320,2048,157.81
32,2048,384,2048,164.139
32,2048,448,2048,170.107
32,2048,512,2048,167.592
32,2048,576,2048,178.758
32,2048,640,2048,194.307
32,2048,704,2048,193.103
32,2048,768,2048,193.612
32,2048,832,2048,199.837
32,2048,896,2048,202.375
32,2048,960,2048,210.03
32,2048,1024,2048,211.133
32,2048,1088,2048,215.624
32,2048,1152,2048,205.545
32,2048,1216,2048,211.06
32,2048,1280,2048,216.983
32,2048,1344,2048,213.964
32,2048,1408,2048,211.812
32,2048,1472,2048,211.765
32,2048,1536,2048,219.289
32,2048,1600,2048,217.603
32,2048,1664,2048,212.736
32,2048,1728,2048,214.772
32,2048,1792,2048,210.273
32,2048,1856,2048,217.433
32,2048,1920,2048,221.276
32,2048,1984,2048,221.574
32,2048,2048,2048,223.427
32,2048,2112,2048,223.147
32,2048,2176,2048,218.462
32,2048,2240,2048,219.56
32,2048,2304,2048,215.293
32,2048,2368,2048,218.817
32,2048,2432,2048,224.003
32,2048,2496,2048,217.114
32,2048,2560,2048,192.612
32,2048,2624,2048,207.599
32,2048,2688,2048,207.697
32,2048,2752,2048,225.604
32,2048,2816,2048,212.852
32,2048,2880,2048,213.331
32,2048,2944,2048,218.961
32,2048,3008,2048,220.163
32,2048,3072,2048,221.747
32,2048,3136,2048,211.528
32,2048,3200,2048,222.606
32,2048,3264,2048,210.481
32,2048,3328,2048,211.675
32,2048,3392,2048,219.919
32,2048,3456,2048,190.118
32,2048,3520,2048,201.556
32,2048,3584,2048,203.199
32,2048,3648,2048,140.27
32,2048,3712,2048,208.794
32,2048,3776,2048,196.589
32,2048,3840,2048,225.194
32,2048,3904,2048,208.826
32,2048,3968,2048,191.654
64,2048,64,2048,60.356
64,2048,128,2048,99.444
64,2048,192,2048,120.33
64,2048,256,2048,142.963
64,2048,320,2048,155.255
64,2048,384,2048,174.026
64,2048,448,2048,173.815
64,2048,512,2048,188.262
64,2048,576,2048,191.759
64,2048,640,2048,194.325
64,2048,704,2048,202.047
64,2048,768,2048,205.304
64,2048,832,2048,202.05
64,2048,896,2048,206.043
64,2048,960,2048,206.495
64,2048,1024,2048,212.965
64,2048,1088,2048,207.063
64,2048,1152,2048,199.231
64,2048,1216,2048,209.333
64,2048,1280,2048,210.822
64,2048,1344,2048,205.627
64,2048,1408,2048,204.359
64,2048,1472,2048,213.934
64,2048,1536,2048,204.933
64,2048,1600,2048,214.688
64,2048,1664,2048,212.642
64,2048,1728,2048,200.377
64,2048,1792,2048,207.91
64,2048,1856,2048,204.808
64,2048,1920,2048,197.785
64,2048,1984,2048,214.596
64,2048,2048,2048,210.987
64,2048,2112,2048,216.728
64,2048,2176,2048,189.007
64,2048,2240,2048,198.854
64,2048,2304,2048,208.826
64,2048,2368,2048,183.315
64,2048,2432,2048,219.934
64,2048,2496,2048,187.475
64,2048,2560,2048,214.711
64,2048,2624,2048,219.938
64,2048,2688,2048,186.031
64,2048,2752,2048,215.649
64,2048,2816,2048,156.173
64,2048,2880,2048,153.285
64,2048,2944,2048,156.469
64,2048,3008,2048,157.819
64,2048,3072,2048,155.697
64,2048,3136,2048,135.641
64,2048,3200,2048,137.392
64,2048,3264,2048,222.983
64,2048,3328,2048,158.524
64,2048,3392,2048,158.137
64,2048,3456,2048,155.957
64,2048,3520,2048,158.251
64,2048,3584,2048,155.846
64,2048,3648,2048,158.383
64,2048,3712,2048,157.687
64,2048,3776,2048,158.92
64,2048,3840,2048,158.265
64,2048,3904,2048,158.902
64,2048,3968,2048,158.753
128,2048,64,2048,56.718
128,2048,128,2048,96.484
128,2048,192,2048,120.437
128,2048,256,2048,127.376
128,2048,320,2048,155.671
128,2048,384,2048,167.914
128,2048,448,2048,106.979
128,2048,512,2048,169.707
128,2048,576,2048,160.263
128,2048,640,2048,188.058
128,2048,704,2048,116.282
128,2048,768,2048,181.114
128,2048,832,2048,179.44
128,2048,896,2048,195.82
128,2048,960,2048,124.48
128,2048,1024,2048,178.576
128,2048,1088,2048,165.303
128,2048,1152,2048,195.931
128,2048,1216,2048,125.991
128,2048,1280,2048,168.695
128,2048,1344,2048,146.476
128,2048,1408,2048,206.986
128,2048,1472,2048,150.771
128,2048,1536,2048,148.794
128,2048,1600,2048,146.965
128,2048,1664,2048,208.667
128,2048,1728,2048,165.502
128,2048,1792,2048,146.842
128,2048,1856,2048,176.33
128,2048,1920,2048,210.472
128,2048,1984,2048,180.182
128,2048,2048,2048,150.84
128,2048,2112,2048,175.445
128,2048,2176,2048,177.751
128,2048,2240,2048,150.668
128,2048,2304,2048,147.4
128,2048,2368,2048,171.208
128,2048,2432,2048,133.802
128,2048,2496,2048,164.369
128,2048,2560,2048,154.597
128,2048,2624,2048,181.243
128,2048,2688,2048,128.761
128,2048,2752,2048,152.178
128,2048,2816,2048,151.625
128,2048,2880,2048,174.988
128,2048,2944,2048,132.251
128,2048,3008,2048,194.564
128,2048,3072,2048,153.25
128,2048,3136,2048,171.999
128,2048,3200,2048,131.965
128,2048,3264,2048,162.37
128,2048,3328,2048,153.369
128,2048,3392,2048,191.952
128,2048,3456,2048,129.649
128,2048,3520,2048,162.433
128,2048,3584,2048,151.509
128,2048,3648,2048,194.109
128,2048,3712,2048,134.076
128,2048,3776,2048,153.057
128,2048,3840,2048,153.34
128,2048,3904,2048,186.488
128,2048,3968,2048,134.258
