b,m,n,k,throughput
64,2048,64,2048,60.356
64,2048,128,2048,99.444
64,2048,192,2048,120.33
64,2048,256,2048,142.963
64,2048,320,2048,155.255
64,2048,384,2048,174.026
64,2048,448,2048,173.815
64,2048,512,2048,188.262
64,2048,576,2048,191.759
64,2048,640,2048,194.325
64,2048,704,2048,202.047
64,2048,768,2048,205.304
64,2048,832,2048,202.05
64,2048,896,2048,206.043
64,2048,960,2048,206.495
64,2048,1024,2048,212.965
64,2048,1088,2048,207.063
64,2048,1152,2048,199.231
64,2048,1216,2048,209.333
64,2048,1280,2048,210.822
64,2048,1344,2048,205.627
64,2048,1408,2048,204.359
64,2048,1472,2048,213.934
64,2048,1536,2048,204.933
64,2048,1600,2048,214.688
64,2048,1664,2048,212.642
64,2048,1728,2048,200.377
64,2048,1792,2048,207.91
64,2048,1856,2048,204.808
64,2048,1920,2048,197.785
64,2048,1984,2048,214.596
64,2048,2048,2048,210.987
64,2048,2112,2048,216.728
64,2048,2176,2048,189.007
64,2048,2240,2048,198.854
64,2048,2304,2048,208.826
64,2048,2368,2048,183.315
64,2048,2432,2048,219.934
64,2048,2496,2048,187.475
64,2048,2560,2048,214.711
64,2048,2624,2048,219.938
64,2048,2688,2048,186.031
64,2048,2752,2048,215.649
64,2048,2816,2048,156.173
64,2048,2880,2048,153.285
64,2048,2944,2048,156.469
64,2048,3008,2048,157.819
64,2048,3072,2048,155.697
64,2048,3136,2048,135.641
64,2048,3200,2048,137.392
64,2048,3264,2048,222.983
64,2048,3328,2048,158.524
64,2048,3392,2048,158.137
64,2048,3456,2048,155.957
64,2048,3520,2048,158.251
64,2048,3584,2048,155.846
64,2048,3648,2048,158.383
64,2048,3712,2048,157.687
64,2048,3776,2048,158.92
64,2048,3840,2048,158.265
64,2048,3904,2048,158.902
64,2048,3968,2048,158.753
