b,m,n,k,throughput
1,1024,1024,1024,70.088
2,1024,1024,1024,85.083
4,1024,1024,1024,105.269
8,1024,1024,1024,135.147
16,1024,1024,1024,172.35
32,1024,1024,1024,183.389
64,1024,1024,1024,165.637
1,2048,2048,2048,179.856
2,2048,2048,2048,146.187
4,2048,2048,2048,215.99
8,2048,2048,2048,202.521
16,2048,2048,2048,224.647
32,2048,2048,2048,224.076
64,2048,2048,2048,193.073
1,4096,4096,4096,228.851
2,4096,4096,4096,218.546
4,4096,4096,4096,221.148
8,4096,4096,4096,203.613
16,4096,4096,4096,184.85
32,4096,4096,4096,186.053
64,4096,4096,4096,180.869
1,8192,8192,8192,210.248
2,8192,8192,8192,217.943
4,8192,8192,8192,153.87
8,8192,8192,8192,163.321
16,8192,8192,8192,164.917
32,8192,8192,8192,167.514
64,8192,8192,8192,166.012
