m,n,k,throughput
8192,22976,22976,191.112
8192,23040,23040,173.752
8192,23104,23104,193.563
8192,23168,23168,183.013
8192,23232,23232,188.469
8192,23296,23296,192.667
8192,23360,23360,189.42
8192,23424,23424,189.016
8192,23488,23488,186.485
8192,23552,23552,185.525
8192,23616,23616,183.106
8192,23680,23680,181.305
8192,23744,23744,183.753
8192,23808,23808,182.385
8192,23872,23872,190.316
8192,23936,23936,189.222
8192,24000,24000,181.314
8192,24064,24064,182.004
8192,24128,24128,188.161
8192,24192,24192,182.935
8192,24256,24256,187.221
8192,24320,24320,193.322
8192,24384,24384,193.663
8192,24448,24448,186.293
8192,24512,24512,180.175
8192,24576,24576,192.76
8192,24640,24640,161.274
8192,24704,24704,184.305
8192,24768,24768,188.19
8192,24832,24832,184.44
8192,24896,24896,184.053
8192,24960,24960,179.709
8192,25024,25024,194.661
