m,n,k,throughput
2048,2048,64,12.906
2048,2048,65,9.979
2048,2048,66,12.184
2048,2048,67,10.123
2048,2048,68,12.598
2048,2048,69,10.501
2048,2048,70,12.274
2048,2048,71,10.837
2048,2048,72,13.222
2048,2048,73,11.126
2048,2048,74,12.847
2048,2048,75,11.332
2048,2048,76,14.205
2048,2048,77,11.787
2048,2048,78,13.519
2048,2048,79,12.146
2048,2048,80,14.873
2048,2048,81,11.996
2048,2048,82,14.427
2048,2048,83,12.293
2048,2048,84,15.426
2048,2048,85,12.328
2048,2048,86,14.663
2048,2048,87,12.583
2048,2048,88,16.16
2048,2048,89,11.873
2048,2048,90,15.124
2048,2048,91,12.094
2048,2048,92,16.806
2048,2048,93,12.438
2048,2048,94,16.079
2048,2048,95,12.578
2048,2048,96,18.336
2048,2048,97,14.448
2048,2048,98,17.536
2048,2048,99,14.683
2048,2048,100,18.927
2048,2048,101,15.327
2048,2048,102,17.767
2048,2048,103,15.19
2048,2048,104,19.335
2048,2048,105,15.464
2048,2048,106,18.463
2048,2048,107,15.736
2048,2048,108,20.856
2048,2048,109,15.808
2048,2048,110,19.717
2048,2048,111,16.416
2048,2048,112,20.823
2048,2048,113,15.757
2048,2048,114,18.306
2048,2048,115,16.23
2048,2048,116,20.443
2048,2048,117,16.806
2048,2048,118,20.152
2048,2048,119,17.187
2048,2048,120,21.509
2048,2048,121,16.287
2048,2048,122,20.835
2048,2048,123,16.62
2048,2048,124,22.418
2048,2048,125,16.74
2048,2048,126,21.139
2048,2048,127,17.029
2048,2048,128,24.053
2048,2048,129,7.515
2048,2048,130,21.569
2048,2048,131,7.593
2048,2048,132,21.866
2048,2048,133,7.714
2048,2048,134,21.784
2048,2048,135,7.74
2048,2048,136,22.89
2048,2048,137,7.715
2048,2048,138,22.716
2048,2048,139,7.874
2048,2048,140,22.795
2048,2048,141,7.932
2048,2048,142,23.229
2048,2048,143,7.997
2048,2048,144,24.512
2048,2048,145,8.188
2048,2048,146,23.091
2048,2048,147,8.234
2048,2048,148,24.248
2048,2048,149,8.214
2048,2048,150,23.164
2048,2048,151,8.312
2048,2048,152,23.931
2048,2048,153,8.462
2048,2048,154,22.873
2048,2048,155,8.622
2048,2048,156,24.234
2048,2048,157,8.687
2048,2048,158,23.367
2048,2048,159,8.831
2048,2048,160,27.324
2048,2048,161,8.923
2048,2048,162,24.69
2048,2048,163,9.15
2048,2048,164,25.667
2048,2048,165,9.092
2048,2048,166,25.902
2048,2048,167,9.246
2048,2048,168,26.691
2048,2048,169,9.273
2048,2048,170,26.099
2048,2048,171,9.442
2048,2048,172,26.839
2048,2048,173,9.624
2048,2048,174,26.597
2048,2048,175,9.678
2048,2048,176,29.109
2048,2048,177,9.851
2048,2048,178,27.368
2048,2048,179,9.837
2048,2048,180,28.598
2048,2048,181,9.88
2048,2048,182,27.658
2048,2048,183,10.131
2048,2048,184,29.233
2048,2048,185,10.125
2048,2048,186,27.862
2048,2048,187,10.337
2048,2048,188,29.423
2048,2048,189,10.414
2048,2048,190,28.021
2048,2048,191,10.597
2048,2048,192,34.123
2048,2048,193,10.623
2048,2048,194,29.915
2048,2048,195,10.842
2048,2048,196,30.583
2048,2048,197,10.855
2048,2048,198,30.309
2048,2048,199,11.006
2048,2048,200,32.018
2048,2048,201,11.093
2048,2048,202,30.787
2048,2048,203,11.087
2048,2048,204,31.927
2048,2048,205,11.266
2048,2048,206,31.215
2048,2048,207,11.329
2048,2048,208,34.73
2048,2048,209,11.438
2048,2048,210,30.414
2048,2048,211,11.499
2048,2048,212,33.529
2048,2048,213,11.681
2048,2048,214,32.806
2048,2048,215,11.76
2048,2048,216,35.115
2048,2048,217,11.882
2048,2048,218,33.177
2048,2048,219,12.029
2048,2048,220,35.273
2048,2048,221,12.057
2048,2048,222,33.16
2048,2048,223,12.091
2048,2048,224,39.542
2048,2048,225,12.193
2048,2048,226,34.049
2048,2048,227,12.269
2048,2048,228,36.556
2048,2048,229,12.264
2048,2048,230,35.571
2048,2048,231,12.668
2048,2048,232,37.658
2048,2048,233,12.574
2048,2048,234,35.355
2048,2048,235,12.708
2048,2048,236,37.381
2048,2048,237,12.797
2048,2048,238,36.379
2048,2048,239,13.046
2048,2048,240,40.787
2048,2048,241,13.019
2048,2048,242,36.355
2048,2048,243,13.155
2048,2048,244,38.766
2048,2048,245,13.387
2048,2048,246,37.602
2048,2048,247,13.482
2048,2048,248,39.823
2048,2048,249,13.627
2048,2048,250,37.719
2048,2048,251,13.794
2048,2048,252,38.632
2048,2048,253,14.074
2048,2048,254,37.094
2048,2048,255,14.021
2048,2048,256,44.665
2048,2048,257,13.869
2048,2048,258,42.403
2048,2048,259,13.723
2048,2048,260,40.63
2048,2048,261,13.801
2048,2048,262,43.469
2048,2048,263,13.921
2048,2048,264,42.852
2048,2048,265,14.02
2048,2048,266,43.787
2048,2048,267,14.027
2048,2048,268,42.45
2048,2048,269,14.203
2048,2048,270,44.445
2048,2048,271,14.337
2048,2048,272,45.634
2048,2048,273,14.299
2048,2048,274,41.943
2048,2048,275,14.454
2048,2048,276,43.85
2048,2048,277,14.501
2048,2048,278,42.555
2048,2048,279,14.49
2048,2048,280,45.1
2048,2048,281,14.696
2048,2048,282,42.979
2048,2048,283,14.632
2048,2048,284,44.249
2048,2048,285,14.678
2048,2048,286,41.884
2048,2048,287,14.588
2048,2048,288,47.783
2048,2048,289,14.79
2048,2048,290,43.817
2048,2048,291,14.965
2048,2048,292,45.767
2048,2048,293,15.068
2048,2048,294,45.136
2048,2048,295,14.972
2048,2048,296,47.027
2048,2048,297,15.081
2048,2048,298,46.224
2048,2048,299,15.212
2048,2048,300,47.735
2048,2048,301,15.449
2048,2048,302,46.365
2048,2048,303,15.69
2048,2048,304,51.003
2048,2048,305,15.708
2048,2048,306,47.395
2048,2048,307,15.858
2048,2048,308,48.131
2048,2048,309,16.0
2048,2048,310,46.974
2048,2048,311,16.096
2048,2048,312,50.487
2048,2048,313,16.264
2048,2048,314,47.58
2048,2048,315,16.49
2048,2048,316,50.205
2048,2048,317,16.603
2048,2048,318,47.23
2048,2048,319,16.784
2048,2048,320,58.867
2048,2048,321,16.957
2048,2048,322,48.652
2048,2048,323,17.054
2048,2048,324,51.089
2048,2048,325,17.099
2048,2048,326,50.344
2048,2048,327,17.344
2048,2048,328,52.429
2048,2048,329,17.31
2048,2048,330,50.589
2048,2048,331,17.424
2048,2048,332,51.959
2048,2048,333,17.617
2048,2048,334,50.175
2048,2048,335,17.759
2048,2048,336,57.102
2048,2048,337,17.704
2048,2048,338,49.778
2048,2048,339,17.899
2048,2048,340,52.817
2048,2048,341,17.95
2048,2048,342,51.599
2048,2048,343,18.174
2048,2048,344,55.494
2048,2048,345,18.206
2048,2048,346,52.053
2048,2048,347,18.386
2048,2048,348,54.382
2048,2048,349,18.511
2048,2048,350,52.205
2048,2048,351,18.504
2048,2048,352,61.312
2048,2048,353,18.933
2048,2048,354,53.333
2048,2048,355,19.089
2048,2048,356,55.799
2048,2048,357,18.821
2048,2048,358,53.781
2048,2048,359,19.051
2048,2048,360,57.632
2048,2048,361,18.974
2048,2048,362,54.46
2048,2048,363,19.137
2048,2048,364,57.053
2048,2048,365,19.467
2048,2048,366,54.669
2048,2048,367,19.505
2048,2048,368,61.153
2048,2048,369,19.473
2048,2048,370,54.798
2048,2048,371,19.588
2048,2048,372,57.703
2048,2048,373,19.585
2048,2048,374,53.795
2048,2048,375,19.71
2048,2048,376,58.67
2048,2048,377,20.056
2048,2048,378,55.983
2048,2048,379,20.235
2048,2048,380,56.28
2048,2048,381,20.177
2048,2048,382,54.129
2048,2048,383,20.304
2048,2048,384,66.444
2048,2048,385,12.406
2048,2048,386,43.335
2048,2048,387,12.436
2048,2048,388,44.319
2048,2048,389,12.504
2048,2048,390,43.229
2048,2048,391,12.546
2048,2048,392,46.762
2048,2048,393,12.641
2048,2048,394,43.672
2048,2048,395,12.819
2048,2048,396,45.48
2048,2048,397,12.805
2048,2048,398,43.884
2048,2048,399,12.842
2048,2048,400,51.782
2048,2048,401,12.914
2048,2048,402,44.465
